date,open_NO2,sate_NO2,"T T Nagar, Bhopal - MPPCB"
2021-06-21,4.944166666666667,4429070000000000.0,25.23
2021-06-22,5.034166666666667,4557650000000000.0,23.65
2021-06-23,5.947500000000001,3675310000000000.0,23.22
2021-06-24,5.990416666666667,4628020000000000.0,24.3
2021-06-25,6.587500000000002,3833786000000000.0,27.02
2021-06-26,4.608333333333333,4786450000000000.0,26.25
2021-06-27,5.5808333333333335,5440720000000000.0,27.17
2021-06-28,5.68375,6122018000000000.0,28.37
2021-06-29,4.210416666666666,4207860000000000.0,23.78
2021-06-30,4.8625,4868970000000000.0,22.72
2021-07-01,4.509166666666666,3692210000000000.0,20.45
2021-07-02,3.742500000000001,4021094000000000.0,19.71
2021-07-03,3.182083333333333,4913980000000000.0,22.27
2021-07-04,4.670416666666667,3938780000000000.0,24.05
2021-07-05,4.836666666666666,3887660000000000.0,24.09
2021-07-06,4.7700000000000005,3945120000000000.0,25.2
2021-07-07,4.440833333333332,4409630000000000.0,21.66
2021-07-08,6.62375,4390252000000000.0,21.16
2021-07-09,7.229583333333333,4315470000000000.0,24.01
2021-07-10,7.912916666666665,4366130000000000.0,29.25
2021-07-11,6.12375,3578082000000000.0,26.98
2021-07-12,4.628750000000001,4570980000000000.0,24.43
2021-07-13,16.91625,4289870000000000.0,21.33
2021-07-14,15.589583333333332,4785290000000000.0,21.79
2021-07-15,5.590416666666666,4118880000000000.0,22.58
2021-07-16,4.1745833333333335,4503120000000000.0,25.94
2021-07-17,4.478750000000001,3000000000000000.0,22.95
2021-07-18,7.884999999999999,4242672000000000.0,24.09
2021-07-19,7.846249999999999,4347080000000000.0,23.3
2021-07-20,5.713333333333334,4144280000000000.0,22.83
2021-07-21,6.468333333333334,3380960000000000.0,21.98
2021-07-22,7.805833333333335,4101940000000000.0,24.46
2021-07-23,6.032916666666666,3924672000000000.0,22.34
2021-07-24,5.440833333333334,3590922000000000.0,25.91
2021-07-25,6.194999999999999,4374888000000000.0,20.71
2021-07-26,4.419583333333333,4132938000000000.0,21.66
2021-07-27,5.939166666666666,4377498000000000.0,21.86
2021-07-28,6.558333333333334,4693960000000000.0,21.71
2021-07-29,5.691666666666667,4359948000000000.0,19.25
2021-07-30,3.8325,3611840000000000.0,19.36
2021-07-31,3.735,3867192000000000.0,20.1
2021-08-01,3.8762500000000006,4007854000000000.0,20.38
2021-08-02,4.003333333333333,3748238000000000.0,19.95
2021-08-03,4.2820833333333335,4071562000000000.0,20.11
2021-08-04,5.302083333333334,4077432000000000.0,20.67
