date,open_SO2,sate_SO2,"DRM Office Danapur, Patna - BSPCB",Govt,"IGSC Planetarium Complex, Patna - BSPCB","Rajbansi Nagar, Patna - BSPCB","Samanpura, Patna - BSPCB"
2021-03-28,23.340416666666663,0.23558794,16.14,28.57,15.35,16.08,18.46
2021-03-29,34.917500000000004,0.273276299,10.12,19.08,15.39,17.01,19.12
2021-03-30,26.975416666666664,0.059063156385037396,7.65,14.58,15.5,14.57,16.51
2021-03-31,25.550833333333333,0.258004159,4.71,13.22,16.09,13.24,15.34
2021-04-01,22.39708333333333,-0.0751819594,3.67,14.01,15.47,12.25,12.41
2021-04-02,23.59916666666666,-0.041050993,3.58,15.1,15.89,11.83,11.83
2021-04-03,20.91666666666667,0.1511205986,5.54,17.95,16.13,11.79,11.79
2021-04-04,22.92291666666667,0.149614975,4.07,14.05,13.93,12.04,12.04
2021-04-05,33.925,0.1350093661999999,6.39,17.45,15.78,17.14,5.47
2021-04-06,37.40083333333334,0.11427056,6.89,17.33,15.68,22.24,6.42
2021-04-07,34.17916666666667,0.180108219,5.12,15.18,15.29,18.25,6.44
2021-04-08,26.175416666666663,0.211003125,4.34,12.65,15.22,13.54,5.29
2021-04-09,38.27583333333333,0.1969750226,4.04,19.44,15.23,9.17,2.83
2021-04-10,22.844583333333333,0.2993292306,4.39,11.34,15.2,11.57,2.99
2021-04-11,20.545416666666668,0.537335813,5.79,10.94,15.22,11.98,2.67
2021-04-12,25.77375,0.1495841838,6.8,15.65,15.23,12.19,3.25
2021-04-13,29.221666666666664,-0.534630597,7.64,13.16,15.32,13.29,3.58
2021-04-14,29.489166666666662,-0.031127995,9.73,15.32,15.25,13.95,4.01
2021-04-15,22.093333333333334,-0.177064553,5.14,12.46,15.2,12.38,4.51
2021-04-16,21.62666666666667,0.013848069,4.13,11.57,15.24,13.48,5.98
2021-04-17,23.49875,-0.27530697,3.85,12.4,15.16,16.66,5.47
2021-04-18,17.847916666666666,-0.126973987,3.89,14.53,15.17,11.54,4.47
2021-04-19,17.72875,0.1772093981999999,4.66,15.41,15.22,10.29,3.62
2021-04-20,25.167916666666667,0.200166509,3.56,14.34,15.24,12.38,4.91
2021-04-21,23.031666666666663,-0.0096363792,3.79,9.97,15.21,11.57,5.83
2021-04-22,18.47375,-0.30414483,3.83,9.99,15.14,7.71,4.2
2021-04-23,19.03708333333333,-0.030738812,4.3,12.14,15.1,9.58,4.83
2021-04-24,20.92166666666667,0.314830393,7.59,13.35,15.12,10.5,4.91
2021-04-25,25.9975,-0.244397685,11.29,13.93,15.01,12.98,6.15
2021-04-26,33.407500000000006,0.1776261348,14.33,14.38,16.91,12.76,5.71
2021-04-27,31.745000000000005,0.447295189,16.96,23.27,15.31,12.79,6.61
2021-04-28,26.89166666666667,0.1752133215999999,16.81,23.16,24.71,14.24,6.93
2021-04-29,24.76125,-0.280145675,8.44,12.97,15.02,14.15,8.2
2021-04-30,27.37333333333333,-0.019107185,12.62,14.17,15.2,14.61,7.53
2021-05-01,16.555416666666662,0.156872407,11.48,12.66,14.91,12.15,6.8
2021-05-02,27.875833333333336,-0.014982303,9.66,11.07,16.31,10.81,6.78
2021-05-03,23.92166666666667,0.166517511,10.72,13.04,15.17,13.78,8.02
2021-05-04,24.280000000000005,0.1997125764,9.47,12.33,15.23,10.82,7.3
2021-05-05,26.62333333333333,0.1413333386,10.26,11.41,15.22,12.38,8.29
2021-05-06,24.041249999999994,-0.159999996,13.97,15.09,15.16,16.17,9.82
2021-05-07,21.457916666666677,0.1553395822,7.7,8.74,15.18,8.86,7.21
2021-05-08,16.653750000000002,0.030971903,8.43,9.91,24.62,12.45,8.12
2021-05-09,23.14583333333333,0.140000001,9.81,10.4,15.1,11.67,9.47
2021-05-10,23.94083333333333,0.385078043,7.7,8.23,14.62,8.89,7.74
2021-05-11,27.01,0.302018731,4.36,9.87,14.97,10.52,9.83
2021-05-12,20.71291666666667,0.2806315302,3.85,7.83,15.03,8.37,82.55
2021-05-13,19.02916666666667,-0.02,4.15,7.95,13.646,8.49,114.77
2021-05-14,19.14333333333333,0.0706991598,3.62,8.38,14.28,8.25,114.9
2021-05-15,18.915000000000006,-0.090020813,3.61,9.03,15.622,7.8,115.22
2021-05-16,22.113333333333333,0.458058268,3.34,9.21,19.89,7.88,116.18
2021-05-17,20.9525,0.330000013,3.09,7.98,22.926,5.9,116.82
2021-05-18,14.136249999999997,0.0642515099999999,3.47,8.2,11.446,6.37,115.94
2021-05-19,14.975833333333334,0.010062404,3.42,8.28,9.188,5.85,63.72
2021-05-20,18.302916666666665,0.065386972,3.13,6.4,11.72,4.78,77.67
2021-05-21,26.101249999999997,0.024772103,3.36,7.21,10.686,4.05,115.53
2021-05-22,12.085416666666664,-0.0590114498,3.64,6.72,12.396,3.81,115.19
2021-05-23,12.010833333333332,0.2184350669999999,3.57,6.83,12.614,4.64,115.56
2021-05-24,19.025,0.2368512,3.63,6.77,15.218,6.14,116.44
2021-05-25,15.582916666666664,0.249982305,3.53,6.33,17.092000000000002,5.9,90.97
2021-05-26,8.71791666666667,0.1325270934,2.97,6.26,21.64,3.81,24.27
2021-05-27,11.655833333333334,-0.0029906313999999,3.33,5.16,18.844,3.82,78.29
2021-05-28,19.202916666666667,0.159358304,3.24,16.87,12.035999999999998,3.78,4.63
2021-05-29,14.569166666666668,-0.0074584798,2.95,5.21,10.278,3.77,4.44
2021-05-30,16.208750000000002,0.1665438206,2.88,6.04,11.572,3.79,4.57
2021-05-31,15.915833333333332,-0.33528617,3.9,5.33,13.53,2.99,4.86
2021-06-01,20.59416666666667,0.030066598,3.74,7.13,10.338,3.4,18.7
2021-06-02,18.96583333333333,0.150395304,2.73,5.31,13.511999999999995,3.65,51.76
2021-06-03,20.886666666666677,-0.004064518,5.21,11.33,15.913999999999998,3.44,2.93
2021-06-04,22.52166666666666,0.559666991,6.15,7.85,13.892,3.43,2.41
2021-06-05,10.580416666666668,0.13601248,5.49,13.1,12.72,3.42,2.56
2021-06-06,10.451666666666666,0.0660572335999999,6.13,20.69,13.726,3.6,2.97
2021-06-07,15.31333333333333,0.145192519,5.79,30.46,16.119999999999997,3.85,3.29
2021-06-08,20.72375,0.3420945548,5.56,19.26,14.828,3.29,3.62
2021-06-09,24.75583333333333,0.0119912594,5.15,11.22,12.186000000000002,3.24,1.63
2021-06-10,24.895416666666662,0.109999999,4.55,18.1,11.664,3.62,2.59
2021-06-11,17.37083333333333,0.211845294,6.11,15.67,11.082,3.45,3.07
2021-06-12,8.824583333333333,0.2185219898,2.17,19.57,10.582,3.57,2.17
2021-06-13,12.701250000000002,0.0516047943999999,2.29,17.48,13.01,3.43,2.29
2021-06-14,21.83583333333333,-0.036216028,62.06,12.75,12.916,3.5,3.17
2021-06-15,20.305,0.0110013634,2.31,22.16,10.454,3.85,2.31
2021-06-16,21.49791666666667,0.0452131514,15.51,17.98,11.21,3.88,1.95
2021-06-17,17.06708333333333,0.1726281002,2.49,21.34,9.384,4.56,3.62
2021-06-18,16.675,0.0306690112,8.75,22.44,10.188,4.17,5.56
2021-06-19,11.558750000000002,0.122975026,3.02,22.44,9.898,4.68,3.89
2021-06-20,15.497916666666669,0.159865558,3.22,18.33,8.014,4.31,3.53
2021-06-21,22.04375,0.111352749,3.1,20.35,9.388,4.6,4.0
2021-06-22,17.68791666666667,-0.2493975776,2.88,22.06,12.541999999999998,3.7,4.19
2021-06-23,22.639583333333334,-0.1586895168,3.26,18.64,16.124000000000002,2.97,4.96
2021-06-24,21.52791666666667,0.0851781728,2.81,19.93,11.52,1.26,6.18
2021-06-25,28.352083333333336,0.1045237794,3.26,19.04,12.332,1.54,5.46
2021-06-26,17.594166666666666,0.132012485,3.11,18.39,13.576,2.11,5.42
2021-06-27,17.54375,0.0918501454,3.17,18.91,11.3,1.79,7.38
2021-06-28,19.132916666666667,0.02,3.0,17.77,11.484,2.46,6.3
2021-06-29,18.77625,0.0195252182,3.14,14.71,14.704,2.5,5.07
2021-06-30,19.57,0.1813306942,3.08,8.31,13.7,2.18,6.18
2021-07-01,18.975416666666664,-0.1762849002,3.01,7.67,13.026000000000002,2.03,6.39
2021-07-02,18.147916666666667,0.1659001012,2.95,8.19,12.524,1.96,7.07
2021-07-03,13.317083333333334,0.0075,3.15,7.89,10.872,2.03,6.86
2021-07-04,20.131666666666668,0.2706296652,2.98,9.08,12.93,2.08,7.83
2021-07-05,21.319166666666664,0.137904267,3.27,10.37,12.914,2.72,6.92
2021-07-06,20.10291666666667,0.180000007,4.96,10.19,11.956,2.67,6.79
2021-07-07,27.021666666666675,0.0026784672,3.17,16.56,12.576,3.25,6.13
2021-07-08,21.424166666666668,0.098293129,3.13,13.78,11.008,2.91,7.83
2021-07-09,18.995416666666667,0.0968625153999999,3.48,11.83,10.824000000000002,2.66,6.8
2021-07-10,15.527500000000002,0.0799375332,3.15,15.43,9.21,2.97,7.22
2021-07-11,15.22958333333333,0.162834657,3.1,15.72,8.069999999999999,2.54,6.91
2021-07-12,13.58083333333333,-0.01915713,3.15,9.34,9.36,2.81,6.96
2021-07-13,19.83875,-0.109999999,3.11,17.98,8.983999999999998,3.24,6.91
