date,open_SO2,sate_SO2,"Bapuji Nagar, Bengaluru - KSPCB","BTM Layout, Bengaluru - CPCB","BWSSB Kadabesanahalli, Bengaluru - CPCB","City Railway Station, Bengaluru - KSPCB","Hebbal, Bengaluru - KSPCB","Hombegowda Nagar, Bengaluru - KSPCB","Jayanagar 5th Block, Bengaluru - KSPCB","Peenya, Bengaluru - CPCB","Sanegurava Halli, Bengaluru - KSPCB","Silk Board, Bengaluru - KSPCB"
2021-06-22,4.847083333333333,-0.0149954663999999,7.56,8.49,2.55,6.6,6.48,6.23,5.32,5.29,23.46,2.83
2021-06-23,5.0512500000000005,-0.0870176196,7.29,8.49,0.73,10.07,6.67,5.63,6.07,5.07,9.86,2.92
2021-06-24,3.615416666666666,0.2309954688,5.63,8.51,1.53,8.95,5.85,5.65,5.92,5.58,54.65,2.84
2021-06-25,3.3233333333333324,-0.0570045309999999,8.22,8.52,2.33,10.17,5.74,5.65,5.65,5.51,7.18,2.8
2021-06-26,2.9620833333333336,0.094009071,3.87,8.48,1.92,10.81,6.1,5.96,5.96,4.94,3.08,2.66
2021-06-27,3.9620833333333336,0.0090549042,9.99,8.53,4.75,8.46,6.07,4.92,4.92,5.07,3.38,2.67
2021-06-28,5.940416666666667,0.0600000024,6.27,8.49,9.62,8.09,5.87,6.04,6.04,6.15,3.76,2.94
2021-06-29,9.357916666666666,0.01,4.5,8.48,6.17,6.69,4.34,4.58,4.58,4.42,5.41,2.81
2021-06-30,7.76625,0.0279889165999999,6.47,8.49,2.94,6.18,5.75,4.97,4.97,4.91,11.16,2.94
2021-07-01,5.71625,0.3700664807999999,7.29,8.49,2.64,5.8,5.61,6.07,9.07,5.84,9.79,2.64
2021-07-02,5.167083333333333,-0.0559808596,3.14,8.51,2.65,6.88,5.52,5.77,6.15,6.13,5.32,2.65
2021-07-03,4.957916666666668,0.1000000096,6.31,8.49,2.68,6.24,6.09,5.73,7.97,6.24,12.91,2.68
2021-07-04,5.218749999999999,0.0999999974,5.89,8.49,2.94,7.1,6.19,6.33,5.06,5.47,12.79,2.94
2021-07-05,5.8425,0.119010582,5.55,8.52,2.94,6.72,6.4,5.69,7.01,4.39,7.95,2.94
2021-07-06,9.341666666666663,0.0120231773999999,5.79,8.54,1.52,7.9,6.94,5.55,5.73,5.33,6.55,2.65
2021-07-07,8.356666666666666,-0.02993754,3.26,8.51,1.0,5.28,3.79,6.78,6.78,4.47,11.83,2.85
2021-07-08,5.323333333333333,0.173996975,5.74,8.48,1.42,8.16,6.12,4.98,4.98,5.74,22.21,2.92
2021-07-09,4.439999999999999,-0.037060942,9.47,8.51,6.44,7.4,6.19,5.24,5.24,4.8,7.4,2.87
2021-07-10,2.1166666666666667,-0.1099979849999999,10.54,8.52,1.86,6.91,5.95,4.83,7.61,5.46,6.91,2.52
2021-07-11,2.4258333333333337,0.105975824,9.62,8.5,1.62,7.04,6.78,7.75,6.47,5.21,7.04,2.71
2021-07-12,3.025000000000001,-0.002021152,7.53,8.49,1.09,7.66,6.53,9.5,5.47,4.32,3.9,2.75
2021-07-13,3.1050000000000004,-0.0540120884,6.72,8.49,4.17,6.02,6.94,9.49,6.59,4.86,7.94,5.07
2021-07-14,3.5766666666666667,-0.0910135954,6.17,8.5,2.99,6.17,7.17,7.36,5.37,4.69,9.84,8.64
2021-07-15,3.698333333333333,0.0590407966,6.66,8.51,4.71,6.66,6.7,6.95,7.48,4.8,12.9,8.51
2021-07-16,3.950000000000001,0.1389944614,5.18,8.49,4.65,5.18,7.07,7.1,6.08,4.63,3.2,8.64
2021-07-17,2.875,0.1000362694,7.61,8.5,2.44,7.61,6.45,6.11,4.17,4.9,4.59,8.32
2021-07-18,2.5591666666666666,0.1298992739999999,6.74,8.5,1.6,6.74,6.64,6.94,7.51,1.77,6.74,5.81
2021-07-19,2.867083333333333,0.099027702,7.27,8.49,3.0,7.27,6.55,6.17,8.03,1.74,4.04,5.77
2021-07-20,2.638333333333333,-0.0429994912,9.01,8.52,1.63,4.65,6.44,7.22,6.09,1.6,4.64,5.59
2021-07-21,2.3304166666666664,-0.0370146074,18.31,8.48,4.22,6.01,6.61,7.26,3.82,1.48,6.01,5.61
2021-07-22,2.348333333333333,0.0730186398,6.07,8.51,1.95,6.07,7.24,7.23,4.74,1.38,7.32,5.57
2021-07-23,2.94125,0.1450488568,8.27,8.53,2.1,5.05,7.38,7.81,4.57,1.71,5.29,5.82
2021-07-24,2.512083333333333,-0.0159496322,8.54,8.54,2.45,6.5,7.27,6.68,4.77,1.62,4.66,5.69
2021-07-25,2.575416666666667,0.0330135982,6.68,8.51,3.66,7.56,7.39,6.47,7.22,1.64,7.56,6.66
2021-07-26,3.3025,0.1169793543999999,7.46,8.47,2.42,8.1,7.55,7.63,6.31,1.56,8.1,8.57
2021-07-27,2.861666666666667,-0.1009712872,8.04,8.49,1.34,6.28,7.47,7.48,5.8,1.34,5.36,8.71
2021-07-28,2.965,0.1020020157999999,9.26,8.53,1.43,7.47,7.82,7.29,5.43,1.8,4.67,8.24
2021-07-29,2.950833333333333,0.011953653,9.51,8.51,2.32,7.08,7.54,6.88,4.94,1.71,4.81,4.4
2021-07-30,2.795833333333333,0.0069360338,7.01,8.5,1.42,7.39,7.89,7.68,5.37,1.55,5.0,4.53
2021-07-31,2.075833333333333,0.1500191426,7.31,8.5,1.48,7.33,7.43,7.05,5.67,1.79,4.71,4.35
2021-08-01,2.3370833333333336,0.2609803576,9.28,8.47,3.18,9.28,7.69,6.88,5.47,1.95,6.88,4.27
2021-08-02,3.124166666666667,-0.1019879081999999,9.72,8.49,1.82,6.88,7.29,7.17,7.39,1.86,3.98,5.14
2021-08-03,3.132083333333334,-0.0520221605999999,7.56,8.5,1.62,7.96,7.25,6.13,5.36,1.82,4.74,5.4
2021-08-04,2.864583333333333,-0.027007556,7.01,8.49,1.65,5.38,7.68,6.47,5.79,1.9,2.33,6.45
