date,open_SO2,sate_SO2,"FTI Kidwai Nagar, Kanpur - UPPCB","Nehru Nagar, Kanpur - UPPCB","NSI Kalyanpur, Kanpur - UPPCB"
2021-03-11,19.92791666666667,-0.101094261,5.247,20.47,16.032857142857143
2021-03-12,13.72,-0.020482463,6.211,32.67,15.93
2021-03-13,18.416666666666668,0.08335451,8.844999999999999,25.84,21.147142857142857
2021-03-14,12.756086956521738,0.0060044586,9.793,34.68,20.67714285714285
2021-03-15,17.271249999999995,-0.028257731,13.657,29.05,26.39
2021-03-16,17.176250000000003,-0.0700203094,7.818,22.82,20.344285714285714
2021-03-17,19.625416666666663,-0.190009639,10.261,38.48,21.075714285714287
2021-03-18,22.2325,0.040340029,10.015,36.24,22.302857142857142
2021-03-19,16.051666666666666,0.143489521,10.575,28.41,22.275714285714287
2021-03-20,18.14333333333333,0.028481588,12.023999999999996,22.9,17.091428571428573
2021-03-21,16.768749999999997,0.0002107118,12.637,22.38,19.914285714285715
2021-03-22,19.406250000000004,0.137159646,11.832,23.01,19.124285714285715
2021-03-23,19.316666666666663,0.0936486347999999,11.205,16.15,23.345714285714287
2021-03-24,15.533333333333331,-0.050000001,9.373,16.24,23.528571428571432
2021-03-25,17.677916666666665,0.1156246592,9.11,16.55,17.92857142857143
2021-03-26,22.475416666666664,-0.085685611,10.916999999999998,21.22,20.86666666666667
2021-03-27,16.652916666666666,-0.005030466,12.224999999999998,38.43,20.11
2021-03-28,19.05875,0.1363875417999999,8.600999999999999,26.78,15.838571428571427
2021-03-29,26.34041666666667,0.041861583,9.550999999999998,19.49,18.104285714285712
2021-03-30,14.440000000000005,0.04535919369426434,10.322,14.2,26.048333333333336
2021-03-31,17.886666666666667,0.09979897,10.649,16.89,22.15833333333333
2021-04-01,21.277083333333334,0.0731912971999999,8.888,16.14,15.39
2021-04-02,19.099166666666665,-0.213716343,6.427999999999999,15.59,18.965
2021-04-03,13.833749999999997,0.00639175,7.115,18.74,16.976666666666667
