date,open_NO2,sate_NO2,"Shrinath Puram, Kota - RSPCB"
2021-08-28,11.114583333333334,4548946000000000.0,22.33
2021-08-29,9.205416666666668,3906320000000000.0,23.11
2021-08-30,7.825416666666666,5717920000000000.0,25.74
2021-08-31,19.046250000000004,4867524000000000.0,28.99
2021-09-01,14.142083333333336,3678530000000000.0,30.83
2021-09-02,10.568333333333332,1666830000000000.0,32.01
2021-09-03,6.301666666666667,5021900000000000.0,35.35
2021-09-04,6.025000000000001,3113072600000000.0,37.9
2021-09-05,9.02375,5431110000000000.0,40.67
2021-09-06,23.638333333333332,5855170000000000.0,43.98
2021-09-07,6.512499999999999,4368430000000000.0,47.7
2021-09-08,9.804166666666667,5411508000000000.0,48.61
2021-09-09,15.291249999999998,2634196000000000.0,48.72
2021-09-10,36.85208333333334,6625476000000000.0,40.98
2021-09-11,10.425,4359950000000000.0,41.5
2021-09-12,8.16125,5676150000000000.0,43.75
2021-09-13,16.4475,4178286000000000.0,30.96
2021-09-14,6.714583333333334,4446296000000000.0,8.58
2021-09-15,5.789166666666667,5555492000000000.0,8.73
2021-09-16,5.472916666666666,5173396000000000.0,10.24
2021-09-17,6.772916666666666,5149088000000000.0,9.87
2021-09-18,6.598333333333333,5691044000000000.0,9.68
2021-09-19,8.569166666666668,4162360000000000.0,9.93
2021-09-20,9.772916666666667,5139544000000000.0,9.92
2021-09-21,11.460416666666667,4518184000000000.0,8.81
2021-09-22,17.069583333333334,5266040000000000.0,8.19
2021-09-23,12.92125,3981190000000000.0,8.38
2021-09-24,8.884583333333333,5666960000000000.0,8.43
2021-09-25,5.423333333333333,6962800000000000.0,8.46
2021-09-26,10.1175,5994544000000000.0,8.46
2021-09-27,9.296666666666669,6752372000000000.0,9.49
2021-09-28,7.618333333333333,4445750000000000.0,9.18
2021-09-29,7.243333333333333,4472628000000000.0,15.28
2021-09-30,17.66125,5731390000000000.0,20.79
2021-10-01,28.729166666666668,9842340000000000.0,23.08
2021-10-02,5.7558333333333325,4646880000000000.0,24.9
2021-10-03,5.152083333333335,6247220000000000.0,29.66
2021-10-04,12.386666666666663,4805998000000000.0,35.18
2021-10-05,18.065,4906230000000000.0,35.58
2021-10-06,15.069583333333332,3851528000000000.0,26.77
2021-10-07,14.187083333333335,4592460000000000.0,25.97
2021-10-08,18.026666666666667,4621934000000000.0,25.77
2021-10-09,9.437500000000002,6430850000000000.0,21.99
2021-10-10,10.124166666666666,4221080000000000.0,22.02
2021-10-11,17.239583333333336,4265016000000000.0,31.77
2021-10-12,12.338333333333331,4710380000000000.0,44.49
2021-10-13,16.381666666666664,5385400000000000.0,51.65
2021-10-14,13.887500000000005,4663200000000000.0,15.49
2021-10-15,19.93583333333333,4030722000000000.0,14.12
2021-10-16,12.080833333333333,5487460000000000.0,14.23
2021-10-17,9.077083333333336,4947800000000000.0,14.05
2021-10-18,6.830416666666668,5972676000000000.0,14.28
2021-10-19,13.638333333333334,4856540000000000.0,12.96
2021-10-20,8.727083333333335,5098546000000000.0,20.49
2021-10-21,8.165000000000003,4715900000000000.0,25.92
2021-10-22,7.002916666666667,4277824000000000.0,25.34
2021-10-23,5.922916666666667,3964940000000000.0,23.28
2021-10-24,8.586666666666668,4019718600000000.0,31.0
2021-10-25,20.41333333333333,3840410000000000.0,23.55
2021-10-26,21.191666666666663,4290860000000000.0,23.94
2021-10-27,22.002916666666668,5533796000000000.0,38.0
2021-10-28,22.21333333333334,6759520000000000.0,37.85
2021-10-29,19.290000000000003,5002498000000000.0,39.8
2021-10-30,13.580416666666666,5575290000000000.0,38.73
2021-10-31,13.340833333333334,4215088000000000.0,34.0
2021-11-01,23.248750000000005,4600890000000000.0,38.47
2021-11-02,18.592916666666664,9260270000000000.0,44.09
2021-11-03,21.4875,5823848000000000.0,46.6
2021-11-04,31.47125,6836160000000000.0,74.85
2021-11-05,23.72,6923738000000000.0,47.5
2021-11-06,15.697499999999998,4445394000000000.0,40.63
2021-11-07,25.808000000000007,4492452000000000.0,35.62
2021-11-08,25.24833333333333,4338410000000000.0,35.53
2021-11-09,24.96875,5129900000000000.0,35.84
2021-11-10,28.225,3928850000000000.0,35.36
