date,open_SO2,sate_SO2,"Bollaram Industrial Area, Hyderabad - TSPCB","Central University, Hyderabad - TSPCB","ECIL Kapra, Hyderabad - TSPCB","ICRISAT Patancheru, Hyderabad - TSPCB","IDA Pashamylaram, Hyderabad - TSPCB","IITH Kandi, Hyderabad - TSPCB"
2021-04-02,42.01708333333333,0.039999999,32.43,4.13,32.43,11.06,4.59,4.59
2021-04-03,35.917500000000004,-0.230000004,31.27,3.5,31.27,9.77,4.32,4.32
2021-04-04,40.94291666666668,0.39999998,11.21,3.96,11.21,10.44,3.75,3.75
2021-04-05,25.3125,0.079999998,12.0,3.5,12.0,10.81,3.07,3.07
2021-04-06,22.869583333333328,-0.1859999964,4.72,2.84,4.72,7.67,2.13,2.13
2021-04-07,40.05458333333333,0.1680000002,4.63,2.73,4.63,7.58,1.23,1.23
2021-04-08,31.57250000000001,0.129999995,10.77,4.01,10.77,8.36,3.16,3.16
2021-04-09,30.5175,0.0279999977999999,6.21,4.63,6.21,7.61,2.17,2.17
2021-04-10,20.65875,0.109999999,2.81,3.62,2.81,5.49,2.07,2.07
2021-04-11,20.539583333333336,0.200000003,2.5,1.29,2.5,6.88,0.8,0.8
2021-04-12,32.29625,0.0560000059999999,3.37,2.35,3.37,6.85,2.07,2.07
2021-04-13,31.785,0.3919999846,4.57,2.25,4.57,6.58,2.47,2.47
2021-04-14,27.815,0.0319999992,5.39,2.83,5.39,8.54,3.61,3.61
2021-04-15,25.12375,-0.0080000018,5.85,3.64,5.85,9.11,2.97,2.97
2021-04-16,21.73625,0.129999995,8.58,1.88,8.58,8.35,2.05,2.05
2021-04-17,27.313333333333343,0.0900000005999999,4.16,2.91,4.16,11.12,2.76,2.76
2021-04-18,28.301666666666677,-0.0099999994,4.66,2.99,4.66,6.99,2.45,2.45
2021-04-19,23.0825,0.373999984,11.86,2.83,11.86,7.87,0.84,0.84
2021-04-20,19.905,0.0399999935999999,9.18,3.98,9.18,8.72,2.75,2.75
2021-04-21,27.73541666666667,0.439999998,5.88,2.56,5.88,7.14,1.15,1.15
2021-04-22,23.85291666666667,-0.148000001,5.58,2.0,5.58,7.96,1.87,1.87
2021-04-23,20.69083333333333,0.0900000005999999,10.87,1.6,10.87,6.87,1.43,1.43
2021-04-24,24.01625,0.1000000019999999,9.03,2.92,9.03,7.93,2.26,2.26
2021-04-25,22.9875,-0.0499999976,4.29,3.2,4.29,8.58,1.03,1.03
