date,open_NO2,sate_NO2,"Indirapuram, Ghaziabad - UPPCB","Sanjay Nagar, Ghaziabad - UPPCB","Vasundhara, Ghaziabad - UPPCB"
2021-05-21,43.642083333333325,6559550000000000.0,27.29,27.52,28.18
2021-05-22,69.74583333333335,5910510000000000.0,31.55,40.53,35.83
2021-05-23,56.62958333333335,7124360000000000.0,33.34,35.99,37.0
2021-05-24,44.59041666666667,7495762000000000.0,38.09,30.37,38.53
2021-05-25,59.94875,8317120000000000.0,43.2,36.17,46.94
2021-05-26,106.56,7063122000000000.0,60.31,63.78,60.58
2021-05-27,90.13708333333334,8964420000000000.0,43.11,55.3,43.18
2021-05-28,22.727083333333336,6705100000000000.0,21.32,23.52,21.97
2021-05-29,10.839583333333332,8531130000000000.0,21.2,20.12,19.47
2021-05-30,20.77166666666667,7783410000000000.0,28.95,24.65,26.23
2021-05-31,74.55083333333333,6781812000000000.0,44.43,53.49,47.24
2021-06-01,50.202916666666674,8116868000000000.0,36.51,36.56,32.2
2021-06-02,73.21458333333332,9289892000000000.0,38.49,43.08,38.46
2021-06-03,58.2775,1.06e+16,40.44,41.63,37.93
2021-06-04,159.41166666666666,9249320000000000.0,35.05,33.44,41.38
2021-06-05,53.526250000000005,8648410000000000.0,35.86,39.92,35.49
2021-06-06,79.97666666666667,1.04e+16,46.79,54.0,46.94
2021-06-07,54.68000000000001,8189450000000000.0,45.05,52.97,40.81
2021-06-08,45.69125,6308340000000000.0,45.67,51.73,48.62
2021-06-09,48.82583333333334,7949632000000000.0,33.44,31.61,35.35
2021-06-10,16.372916666666672,6545170000000000.0,23.95,16.93,23.09
2021-06-11,24.59208333333333,8323776000000000.0,30.24,21.68,28.34
2021-06-12,11.585833333333335,6296020000000000.0,24.56,17.08,24.29
2021-06-13,20.24291666666667,8078140000000000.0,31.2,22.86,25.05
2021-06-14,28.45458333333333,1.09e+16,30.31,24.12,23.5
2021-06-15,64.68958333333335,8786090000000000.0,27.84,29.13,22.42
2021-06-16,38.71416666666668,9625412000000000.0,32.53,24.81,24.01
2021-06-17,22.264166666666668,8246064000000000.0,29.09,26.59,17.85
2021-06-18,17.986666666666668,7850748000000000.0,23.11,18.87,11.19
2021-06-19,18.59,5449840000000000.0,24.13,17.75,12.03
2021-06-20,17.43708333333333,7082610000000000.0,21.05,16.8,12.75
2021-06-21,35.75166666666666,7677000000000000.0,27.31,32.32,19.57
2021-06-22,72.0025,1.02e+16,34.46,43.51,24.78
2021-06-23,31.849166666666672,1.08e+16,38.06,54.1,36.5
2021-06-24,26.98208333333333,7963600000000000.0,26.77,22.25,21.48
2021-06-25,59.92041666666666,8852248000000000.0,34.93,39.11,28.84
2021-06-26,34.70125,9212890000000000.0,40.85,28.06,32.3
2021-06-27,18.86166666666666,6885458000000000.0,28.58,36.37,19.29
2021-06-28,27.49708333333333,9162450000000000.0,33.87,47.7,24.12
2021-06-29,36.47833333333333,1.04e+16,44.02,51.61,40.4
2021-06-30,31.266250000000003,9256210000000000.0,50.79,53.7,47.47
2021-07-01,27.761249999999997,6973640000000000.0,31.86,40.89,30.07
2021-07-02,29.15041666666667,9499792000000000.0,34.93,35.95,30.19
2021-07-03,44.26291666666668,6304110000000000.0,39.77,45.62,32.05
2021-07-04,25.46291666666667,1.0662434e+16,46.02,50.84,42.57
2021-07-05,61.24124999999999,7750120000000000.0,41.33,42.34,33.46
2021-07-06,47.96750000000001,9150230000000000.0,34.49,27.37,27.91
2021-07-07,39.86375,8434950000000000.0,39.2,43.64,38.55
2021-07-08,33.380833333333335,9231310000000000.0,35.95,39.08,27.41
2021-07-09,16.801666666666666,7376820000000000.0,30.74,17.94,22.14
2021-07-10,14.04958333333333,5722270000000000.0,24.92,17.08,17.13
2021-07-11,16.886666666666667,9199542000000000.0,21.33,16.49,13.0
2021-07-12,16.74375,6909438000000000.0,22.97,22.59,16.3
2021-07-13,21.06416666666667,6126224000000000.0,31.92,26.65,18.92
2021-07-14,24.61333333333334,7690460000000000.0,32.53,30.71,23.57
2021-07-15,19.179583333333333,6675690000000000.0,29.13,22.54,17.35
2021-07-16,24.602500000000003,5589890000000000.0,30.44,24.53,18.75
2021-07-17,56.07208333333332,5065220000000000.0,26.16,32.02,19.28
2021-07-18,36.744166666666665,7785456000000000.0,27.27,31.53,22.63
2021-07-19,34.99458333333333,6192182000000000.0,36.23,38.78,27.66
2021-07-20,77.785,6756758000000000.0,33.01,36.29,28.17
2021-07-21,39.8,5635530000000000.0,37.3,37.93,31.57
2021-07-22,25.090416666666663,5822926000000000.0,23.92,16.55,13.45
2021-07-23,29.34625,6177780000000000.0,26.04,23.99,16.85
2021-07-24,20.87875,7163092000000000.0,32.66,30.75,24.38
2021-07-25,18.200416666666666,5675460000000000.0,26.59,22.82,19.76
2021-07-26,45.41125,6551458000000000.0,26.71,20.5,17.73
2021-07-27,65.23208333333334,7402756000000000.0,32.8,30.35,27.0
2021-07-28,45.611250000000005,1.1618256e+16,37.3,28.44,29.94
2021-07-29,43.99708333333333,6353008000000000.0,37.06,29.32,28.83
2021-07-30,25.79791666666667,5884110000000000.0,35.85,24.21,25.78
2021-07-31,19.89375,4389730000000000.0,24.02,21.71,18.97
2021-08-01,45.66958333333334,3842640000000000.0,23.5,37.3,37.11
2021-08-02,28.01875,7818186000000000.0,46.98,23.74,25.78
2021-08-03,15.87333333333333,8509984000000000.0,24.12,16.86,16.28
2021-08-04,18.90125,5727930000000000.0,25.5,21.16,17.86
2021-08-05,33.30833333333332,7129364000000000.0,22.22,19.84,18.16
2021-08-06,48.26000000000001,5417280000000000.0,21.3,25.51,24.2
2021-08-07,28.132500000000007,8210314000000000.0,23.04,27.12,34.1
2021-08-08,57.65750000000002,1.1025594e+16,29.4,28.81,35.24
2021-08-09,57.25000000000001,6126948000000000.0,18.33,27.45,25.04
2021-08-10,52.35166666666667,6257660000000000.0,13.18,35.28,31.15
2021-08-11,45.59083333333333,5703830000000000.0,7.7,26.65,26.0
2021-08-12,52.20916666666668,7506064000000000.0,8.01,22.45,24.45
2021-08-13,47.63249999999999,6101280000000000.0,7.1,28.0,22.13
2021-08-14,29.760833333333323,6726890000000000.0,6.79,23.47,20.25
2021-08-15,42.04166666666666,6574670000000000.0,6.44,23.05,16.83
2021-08-16,44.31833333333333,7436080000000000.0,8.78,23.17,21.71
2021-08-17,67.91791666666667,8311350000000000.0,13.11,25.27,24.36
2021-08-18,52.25958333333333,7117310000000000.0,20.23,30.22,25.23
2021-08-19,39.535,9194718000000000.0,19.71,24.97,25.49
2021-08-20,21.88458333333333,1.0483056e+16,13.5,16.53,14.95
2021-08-21,20.07958333333333,1.0111656e+16,12.89,17.27,16.68
2021-08-22,27.282499999999995,5164340000000000.0,6.5,20.34,18.36
2021-08-23,51.76541666666665,1.14e+16,11.96,34.32,28.77
2021-08-24,50.56666666666667,8653204000000000.0,16.24,36.18,34.5
2021-08-25,46.63166666666668,8085950000000000.0,8.99,32.19,25.33
2021-08-26,43.43416666666668,5872160000000000.0,10.67,29.9,27.48
2021-08-27,39.19875000000001,5369470000000000.0,10.38,37.7,22.32
2021-08-28,34.60791666666666,7262516000000000.0,7.11,24.88,28.22
2021-08-29,32.3875,6733850000000000.0,4.66,16.79,12.59
2021-08-30,20.928749999999997,8456318000000000.0,3.12,12.61,7.3
2021-08-31,22.90625,1.2223938e+16,5.52,16.68,12.91
2021-09-01,31.332500000000007,1.6710864e+16,6.39,18.6,15.93
2021-09-02,45.45375000000001,7435090000000000.0,6.77,23.1,20.12
2021-09-03,35.85791666666667,7336630000000000.0,6.15,26.08,18.29
2021-09-04,44.55458333333334,8609660000000000.0,8.37,50.46,28.84
2021-09-05,59.13416666666666,5655110000000000.0,9.79,40.58,29.31
2021-09-06,54.30791666666665,7478644000000000.0,8.14,44.21,36.94
2021-09-07,22.335,7539266000000000.0,4.64,30.01,20.32
2021-09-08,16.8625,5471120000000000.0,2.9,22.52,16.12
2021-09-09,21.649999999999995,5419710000000000.0,3.34,26.86,17.01
2021-09-10,19.922083333333333,9738634000000000.0,3.69,24.12,17.63
2021-09-11,19.47208333333333,5382374000000000.0,5.75,24.45,20.81
2021-09-12,27.96708333333334,5318910000000000.0,5.99,37.41,29.17
2021-09-13,32.253750000000004,5777178000000000.0,5.37,29.08,22.86
2021-09-14,25.11666666666667,6058690000000000.0,3.82,23.59,21.61
2021-09-15,34.33041666666667,7729214000000000.0,4.09,28.56,24.95
2021-09-16,21.665,1.104341e+16,3.94,36.25,27.83
2021-09-17,20.749166666666667,4502500000000000.0,3.52,22.55,18.06
2021-09-18,15.483333333333333,1.524156e+16,3.25,22.7,16.37
2021-09-19,22.58375,6171480000000000.0,2.27,26.37,15.91
2021-09-20,25.819166666666664,9116466000000000.0,3.12,30.84,20.62
2021-09-21,25.52583333333333,6423720000000000.0,2.8,29.17,21.36
2021-09-22,28.704166666666666,8413486000000000.0,2.03,25.23,20.74
2021-09-23,27.7475,6994798000000000.0,2.08,20.65,20.68
2021-09-24,24.98458333333333,4712990000000000.0,2.6,22.99,31.29
2021-09-25,20.53625,7311806000000000.0,2.41,23.24,20.97
2021-09-26,18.100833333333338,7235400000000000.0,2.23,24.24,20.63
2021-09-27,34.20041666666668,9559088000000000.0,2.7,35.37,21.77
2021-09-28,18.82208333333333,5767180000000000.0,2.19,27.98,21.14
2021-09-29,20.08541666666667,7162898000000000.0,6.42,28.67,22.3
2021-09-30,53.80833333333334,5366140000000000.0,2.75,32.77,26.57
2021-10-01,95.59125,6016586000000000.0,9.18,42.99,21.29
2021-10-02,62.76916666666667,7434610000000000.0,7.63,20.8475,14.69
2021-10-03,47.775416666666665,6897510000000000.0,4.38,17.515,22.03
2021-10-04,92.55125,7369436000000000.0,6.67,19.8,39.02
2021-10-05,108.60208333333334,1.12e+16,7.11,52.67,30.52
2021-10-06,76.02833333333332,8264420000000000.0,5.98,30.7,26.98
2021-10-07,80.45541666666665,6948980000000000.0,8.08,39.8,31.25
2021-10-08,76.95583333333333,6966842000000000.0,11.95,60.9,45.1
2021-10-09,62.1625,9231570000000000.0,12.78,66.85,54.03
2021-10-10,77.41375000000002,9633840000000000.0,10.94,62.7,49.33
2021-10-11,96.74875000000002,1.017481e+16,10.74,69.09,44.02
2021-10-12,87.42416666666666,9752500000000000.0,10.5,61.44,47.08
2021-10-13,56.28541666666667,9171556000000000.0,8.84,37.46,40.51
2021-10-14,59.577916666666674,6921600000000000.0,8.85,54.32,51.7
2021-10-15,78.22708333333334,7118980000000000.0,8.07,67.87,63.98
2021-10-16,45.304166666666674,8354560000000000.0,2.24,78.11,68.2
2021-10-17,29.410833333333333,6492556000000000.0,52.58,36.23,63.29
2021-10-18,31.87375,8054190000000000.0,3.25,20.49,30.67
2021-10-19,60.71333333333333,8754080000000000.0,3.42,39.74,37.71
2021-10-20,80.21333333333335,9340840000000000.0,3.49,87.55,65.35
2021-10-21,59.20583333333333,1.14e+16,4.53,85.9,68.68
2021-10-22,77.41333333333334,7938750000000000.0,7.51,72.14,62.13
2021-10-23,47.38166666666666,1.09e+16,5.45,60.76,52.74
2021-10-24,30.93916666666667,6550746000000000.0,4.44,38.63,32.41
2021-10-25,61.77666666666667,5930130000000000.0,6.63,45.67,54.91
2021-10-26,68.07333333333332,8888530000000000.0,8.19,66.2,55.33
2021-10-27,61.80375,2.21e+16,5.6,71.49,69.39
2021-10-28,75.52833333333335,1.06e+16,15.66,78.53,66.3
2021-10-29,79.48374999999999,9635802000000000.0,8.12,91.95,70.11
2021-10-30,43.2125,7326380000000000.0,19.43,86.91,76.05
2021-10-31,85.93124999999999,6893286000000000.0,17.97,90.0,72.83
2021-11-01,57.30625,8519050000000000.0,10.1,81.91,70.75
2021-11-02,56.06374999999999,9806666000000000.0,7.84,68.47,50.59
2021-11-03,96.76208333333334,8986910000000000.0,20.12,85.62,59.2
2021-11-04,196.01166666666663,1.31e+16,15.13,82.1,66.95
2021-11-05,111.68625000000002,9726738000000000.0,31.52,69.09,71.3
2021-11-06,42.833333333333336,6129170000000000.0,35.64,86.48,74.42
2021-11-07,85.75640000000001,7014484000000000.0,39.06,90.49,76.3
2021-11-08,107.7033333333333,6327860000000000.0,37.75,103.7,84.43
2021-11-09,117.61333333333332,9161500000000000.0,38.39,113.11,89.29
2021-11-10,128.09374999999997,6584530000000000.0,41.44,128.61,92.27
2021-11-11,112.37208333333332,1.12e+16,40.12,137.72,115.0
2021-11-12,104.28833333333334,1.2562982e+16,125.25,118.35,100.77
2021-11-13,79.75500000000001,1.21e+16,33.82,122.94,87.16
2021-11-14,116.29875,7314538000000000.0,6.88,110.75,77.55
2021-11-15,93.19375000000002,8121800000000000.0,3.47,107.91,87.6
