date,open_NO2,sate_NO2,"Marhatal, Jabalpur - MPPCB"
2021-07-01,4.114166666666667,6541620000000000.0,21.86
2021-07-02,3.165833333333334,5024240000000000.0,22.21
2021-07-03,5.3275,4137320000000000.0,23.53
2021-07-04,3.385,3840444000000000.0,21.52
2021-07-05,5.2820833333333335,4003780000000000.0,24.08
2021-07-06,6.310833333333335,3746006000000000.0,28.67
2021-07-07,4.950416666666667,3773220000000000.0,20.63
2021-07-08,5.177916666666667,4644226000000000.0,23.05
2021-07-09,6.73375,4324938000000000.0,35.85
2021-07-10,6.633333333333333,4211130000000000.0,31.18
2021-07-11,5.992083333333333,3608746000000000.0,23.37
2021-07-12,4.44625,4257182000000000.0,24.84
2021-07-13,5.497083333333332,3955876000000000.0,21.35
2021-07-14,4.915416666666666,3919134000000000.0,22.02
2021-07-15,2.972083333333334,4976020000000000.0,18.78
2021-07-16,4.3845833333333335,5170430000000000.0,16.78
2021-07-17,4.2804166666666665,3744720000000000.0,16.87
2021-07-18,5.43625,4156932000000000.0,18.74
2021-07-19,6.016666666666667,3838334000000000.0,21.4
2021-07-20,4.485833333333333,5021386000000000.0,21.46
2021-07-21,6.860416666666666,3292310000000000.0,20.2
2021-07-22,7.062083333333331,3415762000000000.0,22.62
2021-07-23,4.866666666666666,3814410000000000.0,22.71
2021-07-24,4.7991666666666655,4009044000000000.0,22.38
2021-07-25,3.3799999999999994,3538044000000000.0,17.88
2021-07-26,3.58625,3294226000000000.0,17.47
2021-07-27,4.4816666666666665,4980500000000000.0,17.56
2021-07-28,3.6295833333333327,3758768000000000.0,18.93
2021-07-29,4.962083333333333,4771128000000000.0,17.55
2021-07-30,3.962083333333334,4249084000000000.0,16.92
2021-07-31,3.69875,4639400000000000.0,18.28
2021-08-01,2.940416666666667,4162962000000000.0,13.81
2021-08-02,2.870000000000001,3921654000000000.0,15.65
2021-08-03,4.002916666666667,4411386000000000.0,19.1
2021-08-04,3.812916666666668,3576598000000000.0,20.37
