date,open_NO2,sate_NO2,"Buddhi Vihar, Moradabad - UPPCB","Eco Herbal Park, Moradabad - UPPCB","Employment Office, Moradabad - UPPCB"
2021-07-14,8.975416666666666,5002948000000000.0,20.62,12.407777777777776,20.62
2021-07-15,4.802083333333333,5676830000000000.0,24.68,12.38111111111111,24.68
2021-07-16,9.429166666666667,7065350000000000.0,5.33,9.99111111111111,5.33
2021-07-17,6.4725,4606120000000000.0,14.77,7.498888888888889,14.77
2021-07-18,10.553333333333333,5052272000000000.0,28.42,8.97111111111111,28.42
2021-07-19,13.810000000000002,5673774000000000.0,19.73,9.148888888888887,19.73
2021-07-20,14.619583333333331,4963184000000000.0,16.47,12.97375,16.47
2021-07-21,16.79791666666667,5283560000000000.0,15.99,12.63125,15.99
2021-07-22,6.456666666666667,4782328000000000.0,17.0,10.74875,17.0
2021-07-23,10.6975,5015210000000000.0,13.7,9.86,13.7
2021-07-24,8.981666666666667,4224020000000000.0,9.37,12.025,9.37
2021-07-25,5.9920833333333325,6401380000000000.0,13.29,12.3275,13.29
2021-07-26,11.862083333333336,4445458000000000.0,19.63,11.476666666666668,19.63
2021-07-27,8.926666666666664,6178652000000000.0,12.82,12.787777777777778,12.82
2021-07-28,15.401249999999996,5492416000000000.0,18.17,17.296,18.17
2021-07-29,15.301666666666668,4876440000000000.0,10.32,11.70111111111111,10.32
2021-07-30,6.321666666666668,4819010000000000.0,18.25,10.566666666666666,18.25
2021-07-31,6.648750000000001,4030370000000000.0,17.86,11.344444444444443,17.86
2021-08-01,8.492083333333333,4498384000000000.0,11.28,10.35,11.28
2021-08-02,8.911249999999999,5772520000000000.0,14.94,12.662222222222224,14.94
2021-08-03,5.427499999999999,4936590000000000.0,18.45,14.863,18.45
2021-08-04,6.133333333333336,4089980000000000.0,21.14,15.994,21.14
2021-08-05,13.769583333333332,5121082000000000.0,12.61,15.026,12.61
2021-08-06,10.173333333333332,5268090000000000.0,7.79,12.776666666666667,7.79
2021-08-07,6.510000000000001,4787478000000000.0,7.69,14.202000000000002,7.69
2021-08-08,7.96875,4860630000000000.0,7.02,13.301999999999998,7.02
2021-08-09,9.969583333333334,4532572000000000.0,9.3,14.867,9.3
2021-08-10,19.36125,6963910000000000.0,7.57,14.392,7.57
2021-08-11,12.961666666666664,5292110000000000.0,5.41,11.393,5.41
2021-08-12,11.795416666666668,6473498000000000.0,4.75,11.327000000000002,4.75
2021-08-13,14.375,5098930000000000.0,5.69,11.112,5.69
2021-08-14,6.521249999999999,4833546000000000.0,4.62,9.028,4.62
2021-08-15,8.634583333333333,5609200000000000.0,4.06,7.693,4.06
2021-08-16,10.8325,5153970000000000.0,5.2,11.35,5.2
2021-08-17,10.35125,6439710000000000.0,5.13,12.594,5.13
2021-08-18,6.465,5918860000000000.0,4.24,10.395,4.24
2021-08-19,7.870000000000002,4860710000000000.0,6.33,14.053999999999998,6.33
2021-08-20,6.967083333333334,4774750000000000.0,17.74,12.796,17.74
2021-08-21,6.373333333333334,5883192000000000.0,18.77,13.193333333333332,18.77
2021-08-22,10.392916666666665,5558360000000000.0,15.17,14.765,15.17
2021-08-23,9.639166666666666,4987370000000000.0,6.26,11.42875,6.26
2021-08-24,15.50875,5646772000000000.0,6.91,11.9425,6.91
2021-08-25,14.732083333333334,4871480000000000.0,6.06,12.20888888888889,6.06
2021-08-26,7.962499999999999,5568030000000000.0,5.89,12.593333333333335,5.89
2021-08-27,14.805833333333332,4377500000000000.0,12.81,20.28375,12.81
2021-08-28,7.924583333333333,6685832000000000.0,58.26,13.874285714285715,58.26
2021-08-29,5.364999999999999,7060082000000000.0,59.6,13.065714285714282,59.6
2021-08-30,6.05375,6323034000000000.0,63.76,12.1675,63.76
2021-08-31,6.138333333333333,5887066000000000.0,78.56,14.04625,78.56
2021-09-01,18.250000000000004,6338910000000000.0,49.04,13.6125,49.04
2021-09-02,11.854166666666666,5199310000000000.0,41.6,14.82875,41.6
2021-09-03,9.190833333333332,5270360000000000.0,28.4,15.621111111111112,28.4
2021-09-04,8.425416666666667,5708694000000000.0,28.24,16.985555555555557,28.24
2021-09-05,9.922916666666666,3733360000000000.0,29.61,15.128749999999998,29.61
2021-09-06,7.8083333333333345,5141608000000000.0,22.38,13.984444444444444,22.38
2021-09-07,5.862500000000001,6023470000000000.0,31.42,15.851111111111113,31.42
2021-09-08,5.015416666666666,6202506000000000.0,41.54,14.88888888888889,41.54
2021-09-09,6.359999999999999,5891740000000000.0,36.8,14.654444444444444,36.8
2021-09-10,5.741666666666666,5480760000000000.0,37.88,14.214444444444446,37.88
2021-09-11,6.542083333333334,3768980000000000.0,44.02,13.48,44.02
2021-09-12,13.081666666666669,4844820000000000.0,29.48,12.69,29.48
2021-09-13,9.45458333333333,4774224000000000.0,30.43,14.003333333333336,30.43
2021-09-14,10.825833333333335,6056790000000000.0,31.64,11.625555555555556,31.64
2021-09-15,9.18625,5303556000000000.0,30.64,13.44,30.64
2021-09-16,11.642083333333336,4715932000000000.0,31.82,10.485555555555557,31.82
2021-09-17,9.621249999999998,6078010000000000.0,34.57,9.76125,34.57
2021-09-18,6.5495833333333335,8528290000000000.0,35.17,10.0325,35.17
2021-09-19,8.083333333333334,5856850000000000.0,39.47,11.24375,39.47
2021-09-20,6.8254166666666665,5514304000000000.0,20.41,11.14125,20.41
2021-09-21,8.481249999999998,4734550000000000.0,31.43,12.07875,31.43
2021-09-22,12.245416666666666,5601830000000000.0,48.64,11.01375,48.64
2021-09-23,14.67375,3804780000000000.0,40.56,10.02375,40.56
2021-09-24,9.798333333333334,5946834000000000.0,35.88,10.937500000000002,35.88
2021-09-25,6.779166666666666,4805920000000000.0,33.48,11.381249999999998,33.48
2021-09-26,8.780833333333332,4427480000000000.0,48.9,8.895,48.9
2021-09-27,10.25625,6292006000000000.0,37.65,10.392500000000002,37.65
2021-09-28,8.562083333333332,4593000000000000.0,43.91,9.76875,43.91
2021-09-29,8.660000000000002,5157772000000000.0,50.83,12.23,50.83
2021-09-30,21.21833333333333,5291000000000000.0,46.14,12.4425,46.14
2021-10-01,7.003750000000001,5484746000000000.0,37.34,12.06,37.34
2021-10-02,7.565416666666665,6887460000000000.0,26.69,11.815714285714284,26.69
2021-10-03,10.499999999999998,5947170000000000.0,15.16,13.327142857142858,15.16
2021-10-04,11.11458333333333,4989196000000000.0,21.64,16.20625,21.64
