date,open_NO2,sate_NO2,"GIFT City, Gandhinagar - IITM","IIPHG Lekawada, Gandhinagar - IITM"
2021-11-06,7.096666666666668,3704370000000000.0,7.56,9.6
2021-11-07,8.9304,4645740000000000.0,7.5,9.41
2021-11-08,10.634166666666664,7960094000000000.0,7.55,9.55
2021-11-09,12.31833333333333,6250670000000000.0,7.49,12.77
2021-11-10,20.10333333333333,5035866000000000.0,7.48,15.5
2021-11-11,18.2175,5930100000000000.0,7.57,15.47
2021-11-12,15.20583333333333,5900150000000000.0,7.44,15.45
2021-11-13,7.447083333333333,4934110000000000.0,7.46,15.76
2021-11-14,15.404583333333337,4460606000000000.0,7.55,15.48
2021-11-15,9.057083333333336,5409060000000000.0,7.38,15.31
2021-11-16,7.164166666666668,6001740000000000.0,7.45,15.53
2021-11-17,6.618333333333332,5806638000000000.0,7.45,15.55
2021-11-18,7.458750000000001,4648020000000000.0,7.44,15.46
2021-11-19,8.557916666666666,5776644000000000.0,7.43,15.63
2021-11-20,5.859583333333332,6191170000000000.0,7.36,15.71
2021-11-21,6.427083333333333,4858884000000000.0,7.21,15.62
2021-11-22,15.77083333333333,4564520000000000.0,7.36,16.0
2021-11-23,22.012083333333333,6034410000000000.0,7.37,15.52
2021-11-24,28.39333333333333,6122252000000000.0,7.4,15.62
2021-11-25,24.96083333333334,6109790000000000.0,7.45,15.3
2021-11-26,27.6725,5149546000000000.0,7.44,15.5
2021-11-27,23.433333333333334,5387800000000000.0,7.41,15.41
2021-11-28,11.887916666666664,4360598000000000.0,7.42,15.68
2021-11-29,7.628749999999999,4829910000000000.0,7.37,15.38
2021-11-30,7.227499999999999,4316492000000000.0,7.42,15.44
2021-12-01,7.098333333333332,5342704000000000.0,7.34,15.39
2021-12-02,6.942499999999999,4667404000000000.0,7.35,15.23
2021-12-03,6.797083333333332,5431008000000000.0,7.31,15.32
2021-12-04,12.852083333333338,6590070000000000.0,7.37,15.43
2021-12-05,19.863333333333333,6813144000000000.0,7.31,15.57
2021-12-06,18.782083333333336,6999090000000000.0,7.24,15.49
2021-12-07,8.8075,4932028000000000.0,7.24,15.46
2021-12-08,15.560416666666663,5905770000000000.0,7.36,15.36
2021-12-09,14.206666666666663,7384630000000000.0,7.28,15.5
2021-12-10,13.046666666666669,5478366000000000.0,7.25,15.7
2021-12-11,11.065833333333332,6674750000000000.0,7.49,15.53
