date,open_SO2,sate_SO2,"Alipur, Delhi - DPCC","Anand Vihar, Delhi - DPCC","Ashok Vihar, Delhi - DPCC","Aya Nagar, Delhi - IMD","Bawana, Delhi - DPCC","Burari Crossing, Delhi - IMD","Chandni Chowk, Delhi - IITM","CRRI Mathura Road, Delhi - IMD",Dr,"DTU, Delhi - CPCB","Dwarka-Sector 8, Delhi - DPCC ","East Arjun Nagar, Delhi - CPCB","IGI Airport (T3), Delhi - IMD","IHBAS, Dilshad Garden, Delhi - CPCB","ITO, Delhi - CPCB","Jahangirpuri, Delhi - DPCC","Jawaharlal Nehru Stadium, Delhi - DPCC","Lodhi Road, Delhi - IITM","Lodhi Road, Delhi - IMD","Major Dhyan Chand National Stadium, Delhi - DPCC","Mandir Marg, Delhi - DPCC","Mundka, Delhi - DPCC","Najafgarh, Delhi - DPCC","Narela, Delhi - DPCC","Nehru Nagar, Delhi - DPCC","North Campus, DU, Delhi - IMD","NSIT Dwarka, Delhi - CPCB","Okhla Phase-2, Delhi - DPCC","Patparganj, Delhi - DPCC","Punjabi Bagh, Delhi - DPCC","Pusa, Delhi - DPCC","Pusa, Delhi - IMD","R K Puram, Delhi - DPCC","Rohini, Delhi - DPCC","Shadipur, Delhi - CPCB","Sirifort, Delhi - CPCB","Sonia Vihar, Delhi - DPCC","Sri Aurobindo Marg, Delhi - DPCC","Vivek Vihar, Delhi - DPCC","Wazirpur, Delhi - DPCC"
2021-02-03,59.88166666666665,-0.0259999989999999,12.28,16.63,18.06,19.58,8.94,14.7925,7.65,14.7925,12.276666666666666,3.83,14.63,23.23,14.63,15.89,20.77,32.29,16.92,4.62,19.58,15.01,18.44,13.04,7.95,13.01,14.66,14.7925,11.99,20.17,6.27,16.5,29.28,29.28,20.45,8.08,8.84,12.14,19.26,8.95,30.53,31.02
2021-02-04,104.09041666666668,-0.2180000007999999,11.68,18.23,14.25,16.785,8.41,13.6125,1.94,13.6125,11.786666666666669,3.13,12.0,27.88,12.0,11.94,14.31,14.37,17.42,2.5,16.785,16.63,18.34,12.06,6.87,11.65,16.58,13.6125,8.67,21.14,6.76,14.41,21.07,21.07,14.87,5.52,9.1,11.33,14.21,9.74,26.65,18.82
2021-02-05,55.60166666666666,-0.779999971,12.39,14.18,16.35,15.175,8.5,12.13,1.26,12.13,11.456666666666669,3.82,10.9,20.33,10.9,7.9,13.73,8.16,17.66,2.49,15.175,15.48,17.67,18.15,4.93,9.02,14.03,12.13,5.52,19.75,5.81,11.56,23.54,23.54,10.57,7.42,9.32,6.6,10.9,8.31,20.24,56.58
2021-02-06,31.58,0.041999998,14.72,14.25,22.42,23.3,8.6,15.04,3.56,15.04,11.79,5.08,12.6,23.66,12.6,14.37,18.34,8.25,18.2,14.66,23.3,16.07,11.23,12.66,5.42,15.99,16.35,15.04,5.91,20.37,7.0,15.39,28.37,28.37,18.07,10.41,9.3,6.88,10.44,9.24,19.04,25.88
2021-02-07,41.99166666666667,-0.270000011,16.27,14.74,23.27,15.93,8.03,15.845,1.45,15.845,14.206666666666669,5.47,16.24,23.67,16.24,11.38,17.85,8.43,18.66,14.96,15.93,16.46,11.67,9.08,8.04,13.67,17.9,15.845,4.97,16.38,6.88,15.53,13.562,9.39,23.85,12.88,9.39,12.5,12.26,9.59,17.89,24.28
2021-02-08,56.39708333333334,-0.0219999946,12.34,9.44,18.49,13.36,7.81,13.8375,1.51,13.8375,19.45,4.32,15.63,30.44,15.63,7.27,10.01,8.19,18.13,7.87,13.36,15.56,13.85,9.01,2.8,16.36,13.93,13.8375,6.85,19.99,7.77,10.16,16.404000000000003,12.16,15.25,6.26,12.16,13.13,7.67,8.3,13.87,19.7
2021-02-09,98.3875,0.1339999865999999,15.26,22.56,22.4,17.61,4.26,20.8325,3.64,20.8325,18.586666666666662,4.89,16.06,31.36,16.06,15.49,34.19,7.28,28.37,16.27,17.61,17.77,10.66,15.65,6.74,21.44,25.47,20.8325,8.08,24.21,9.77,20.62,26.58,26.58,34.09,10.62,11.22,13.38,14.34,11.02,23.74,26.6
2021-02-10,102.00416666666666,-0.0120000035999999,14.91,21.91,23.3,20.39,8.25,16.67,12.5,16.67,17.720000000000002,5.43,16.95,41.53,16.95,15.59,36.07,5.73,18.5,17.24,20.39,9.3,14.84,19.06,8.19,20.21,17.87,16.67,5.4,18.9,9.12,19.35,28.82,28.82,23.75,12.97,11.74,13.0,16.11,8.84,27.7,30.06
2021-02-11,78.44125000000001,-0.01,15.32,12.96,24.79,29.68,7.7,18.56,13.57,18.56,13.063333333333333,4.6,16.28,33.75,16.28,10.8,30.63,7.2,19.61,15.56,29.68,6.8,14.28,21.67,8.27,16.91,22.07,18.56,8.39,25.03,9.25,20.88,28.37,28.37,24.64,11.4,10.97,12.99,13.83,11.04,27.17,20.98
2021-02-12,71.52583333333334,1.19000006,16.86,6.02,22.75,21.49,7.07,18.1125,13.84,18.1125,14.550000000000002,3.8,16.98,24.34,16.98,11.45,27.58,7.0,19.17,13.53,21.49,6.72,12.8,24.53,6.78,16.75,17.32,18.1125,7.28,20.11,8.04,16.91,30.03,30.03,27.44,11.52,14.05,13.04,15.24,9.5,21.33,16.64
2021-02-13,79.195,-0.0039999999999999,10.92,11.86,20.6,22.855,6.94,12.677500000000002,5.65,12.677500000000002,18.200000000000003,4.35,12.1,22.76,12.1,9.18,21.29,11.96,14.76,6.81,22.855,5.95,11.35,17.72,4.67,9.51,15.39,12.677500000000002,7.86,16.67,2.31,10.52,22.5,22.5,20.81,5.38,11.7,13.37,8.79,7.23,20.83,13.76
2021-02-14,93.18291666666669,1.19000006,9.94,21.46,23.18,16.655,7.2,15.4,6.29,15.4,15.316666666666668,4.7,15.58,31.7,15.58,8.13,27.26,7.2,15.1,6.5,16.655,5.82,13.47,22.65,5.5,11.56,18.36,15.4,7.83,19.75,9.9,17.66,20.67,20.67,22.01,6.57,12.53,13.34,10.19,7.26,19.11,15.33
