date,open_NO2,sate_NO2,"Central School, Lucknow - CPCB","Gomti Nagar, Lucknow - UPPCB","Kukrail Picnic Spot-1, Lucknow - UPPCB","Lalbagh, Lucknow - CPCB","Nishant Ganj, Lucknow - UPPCB"
2021-05-20,11.373333333333331,5260632000000000.0,16.26,6.52,16.26,7.25,16.26
2021-05-21,19.2825,5274140000000000.0,61.98,12.76,61.98,13.91,61.98
2021-05-22,20.453750000000003,5121090000000000.0,93.79,14.1,93.79,12.29,93.79
2021-05-23,10.211249999999998,4653800000000000.0,78.74,21.19,78.74,9.36,78.74
2021-05-24,11.427916666666668,5212880000000000.0,63.38,24.65,63.38,10.13,63.38
2021-05-25,9.342083333333337,5718040000000000.0,68.55,17.55,68.55,9.58,68.55
2021-05-26,5.757916666666667,4364362000000000.0,51.31,11.47,51.31,7.33,51.31
2021-05-27,7.662499999999999,5931690000000000.0,30.97,10.55,30.97,6.36,30.97
2021-05-28,4.636250000000001,6163712000000000.0,20.26,9.32,20.26,2.19,20.26
2021-05-29,8.417083333333332,6577050000000000.0,16.36,12.51,16.36,3.13,16.36
2021-05-30,7.0320833333333335,5429630000000000.0,22.85,12.44,22.85,3.39,22.85
2021-05-31,12.484583333333331,7271340000000000.0,28.35,14.87,28.35,8.72,28.35
2021-06-01,12.297083333333331,4347260000000000.0,20.3,14.45,20.3,25.65,20.3
2021-06-02,23.96625,5364752000000000.0,30.93,23.61,30.93,18.32,30.93
2021-06-03,22.907499999999995,6929060000000000.0,42.3,31.55,42.3,19.61,42.3
2021-06-04,19.01041666666666,5228294000000000.0,40.65,30.87,40.65,23.78,40.65
2021-06-05,14.043333333333337,5477740000000000.0,32.11,25.31,32.11,22.57,32.11
2021-06-06,9.266666666666667,6103000000000000.0,27.55,25.06,27.55,22.51,27.55
2021-06-07,34.49041666666666,5819992000000000.0,35.4,28.43,35.4,28.91,35.4
2021-06-08,9.216666666666669,4792880000000000.0,32.14,25.15,32.14,28.44,32.14
2021-06-09,4.944166666666668,6441400000000000.0,17.64,16.66,17.64,27.5,17.64
2021-06-10,10.109583333333331,4986360000000000.0,20.59,17.76,20.59,21.51,20.59
2021-06-11,6.539166666666666,6002156000000000.0,19.14,15.26,19.14,10.26,19.14
2021-06-12,4.787916666666666,6088690000000000.0,25.75,10.53,25.75,16.11,25.75
2021-06-13,5.387083333333333,5027548000000000.0,23.9,11.9,23.9,9.95,23.9
2021-06-14,9.079166666666666,6189566000000000.0,21.92,15.07,21.92,7.09,21.92
2021-06-15,14.793333333333331,6148730000000000.0,31.54,14.83,31.54,7.27,31.54
2021-06-16,7.953749999999999,7399720000000000.0,35.88,13.11,35.88,8.48,35.88
2021-06-17,7.567499999999998,5998400000000000.0,18.72,14.13,18.72,7.13,18.72
2021-06-18,7.170000000000002,4354338000000000.0,22.92,13.78,22.92,6.62,22.92
2021-06-19,12.377083333333337,5634710000000000.0,13.56,10.45,13.56,5.81,13.56
2021-06-20,10.021250000000002,4741176000000000.0,10.9,10.08,10.9,5.73,10.9
2021-06-21,13.182916666666664,4486390000000000.0,22.54,17.91,22.54,6.42,22.54
2021-06-22,10.882083333333334,5444590000000000.0,18.26,17.87,18.26,7.05,18.26
2021-06-23,7.5825,5124000000000000.0,13.3,13.81,13.3,6.11,13.3
2021-06-24,16.137083333333333,4381392000000000.0,27.32,14.09,27.32,9.34,27.32
2021-06-25,10.503333333333334,4760420000000000.0,29.52,13.77,29.52,16.88,29.52
