date,open_NO2,sate_NO2,"JN Stadium, Shillong - Meghalaya PCB","Lumpyngngad, Shillong - Meghalaya PCB"
2021-09-05,5.189166666666667,3444938000000000.0,4.97,4.97
2021-09-06,5.708333333333335,2620730000000000.0,3.41,3.41
2021-09-07,19.14083333333333,3186390000000000.0,3.26,3.26
2021-09-08,28.107083333333332,4104952000000000.0,4.85,4.85
2021-09-09,5.658749999999999,3014636000000000.0,6.48,6.48
2021-09-10,3.069166666666666,3373146000000000.0,5.36,5.36
2021-09-11,4.735833333333332,3463540000000000.0,3.77,3.77
2021-09-12,7.48,3988430000000000.0,3.05,3.05
2021-09-13,4.8375,4469880000000000.0,3.99,3.99
2021-09-14,18.855000000000008,3131540000000000.0,4.56,4.56
2021-09-15,13.772500000000004,4759760000000000.0,6.09,6.09
2021-09-16,10.162083333333332,3218876000000000.0,6.31,6.31
2021-09-17,21.06416666666667,2678922000000000.0,3.99,3.99
2021-09-18,16.581249999999997,3008592000000000.0,3.29,3.29
2021-09-19,11.119583333333331,4150510000000000.0,4.42,4.42
2021-09-20,19.57875,3893400000000000.0,4.69,4.69
2021-09-21,16.219166666666666,3126528000000000.0,6.46,6.46
2021-09-22,15.16375,3584222000000000.0,4.96,4.96
2021-09-23,14.982500000000003,3218816000000000.0,9.28,9.28
2021-09-24,10.435416666666669,3147430000000000.0,8.37,8.37
2021-09-25,6.927916666666664,3538140000000000.0,4.22,4.22
2021-09-26,4.330416666666666,4078200000000000.0,0.09,0.09
2021-09-27,9.065416666666664,3624690000000000.0,8.11,8.11
2021-09-28,18.247916666666665,3574256000000000.0,5.7,5.7
2021-09-29,25.34416666666667,3652268000000000.0,4.74,4.74
2021-09-30,17.714999999999996,2553892800000000.0,8.39,8.39
2021-10-01,8.888333333333334,3945180000000000.0,11.84,11.84
2021-10-02,4.739166666666667,2941960000000000.0,8.55,8.55
2021-10-03,3.951666666666666,3188396000000000.0,4.85,4.85
2021-10-04,6.7712499999999975,4522900000000000.0,6.09,6.09
2021-10-05,12.122916666666669,3777368000000000.0,8.27,8.27
2021-10-06,17.578750000000003,4030376000000000.0,6.97,6.97
2021-10-07,15.013333333333334,2314286000000000.0,11.68,11.68
2021-10-08,22.004999999999995,3523370000000000.0,12.11,12.11
2021-10-09,15.180416666666668,3623932000000000.0,9.0,9.0
2021-10-10,11.92375,4006230000000000.0,9.86,9.86
2021-10-11,11.87208333333333,3234650000000000.0,7.9,7.9
2021-10-12,12.9075,3306000000000000.0,7.05,7.05
2021-10-13,15.115,3859090000000000.0,7.63,7.63
2021-10-14,10.157916666666669,3252148800000000.0,11.06,11.06
2021-10-15,8.44875,4057920000000000.0,10.9,10.9
2021-10-16,2.209583333333333,3177758000000000.0,5.84,5.84
2021-10-17,2.5,3338062000000000.0,4.39,4.39
2021-10-18,2.555833333333333,2432896180000000.0,3.88,3.88
2021-10-19,4.782083333333334,3654430000000000.0,3.16,3.16
2021-10-20,5.483333333333333,3129244000000000.0,2.51,2.51
2021-10-21,2.1341666666666668,3890412000000000.0,5.61,5.61
