date,open_SO2,sate_SO2,"Kariavattom, Thiruvananthapuram - Kerala PCB","Plammoodu, Thiruvananthapuram - Kerala PCB"
2021-05-25,0.33875,0.0552040902,1.94,11.85
2021-05-26,0.2466666666666666,0.0815755532,2.04,9.8
2021-05-27,0.8016666666666669,0.120057918,1.75,11.2
2021-05-28,0.7654166666666667,-0.13775292,1.05,10.89
2021-05-29,0.6975000000000001,0.0091054709999999,2.42,11.55
2021-05-30,0.9104166666666664,0.0378465504,4.47,9.97
2021-05-31,0.7825000000000001,0.060003092,2.93,9.85
2021-06-01,2.2266666666666666,0.0307356969999999,0.76,10.4
2021-06-02,1.6033333333333335,-0.156720713,1.44,10.8
2021-06-03,0.5054166666666667,0.043373816,1.4,10.22
2021-06-04,0.6612500000000001,0.079999998,2.17,9.68
2021-06-05,0.71625,0.0621113843999999,1.89,11.87
2021-06-06,0.8662500000000001,0.050041128,2.5,13.68
2021-06-07,0.6566666666666666,-0.0339830472,2.85,11.41
2021-06-08,1.3829166666666666,0.0389439978,1.32,10.38
2021-06-09,2.2220833333333334,-0.184429556,1.78,9.57
2021-06-10,1.25375,0.02005193,3.78,8.84
2021-06-11,0.7854166666666668,-0.037792761,3.0,9.91
2021-06-12,0.6470833333333331,-0.07,4.74,8.17
2021-06-13,0.4375,0.0353455364,3.05,8.8
2021-06-14,0.7400000000000002,-0.0229763085999999,2.49,9.99
2021-06-15,0.6499999999999999,-0.0131686643999999,3.04,9.13
2021-06-16,0.9975000000000002,-0.0150809781999999,2.54,8.6
2021-06-17,0.6945833333333332,-0.044232775,1.78,10.05
2021-06-18,0.62,-0.062195968,3.09,9.6
2021-06-19,1.0920833333333333,0.013351383,3.73,9.5
2021-06-20,2.160833333333334,0.068830863,3.71,10.7
2021-06-21,2.1666666666666665,0.1309718282,0.39,10.43
2021-06-22,1.8545833333333333,0.0,1.48,9.12
2021-06-23,1.6879166666666665,-0.0714740722,3.07,9.75
2021-06-24,1.6025000000000005,-0.0002285083999999,2.25,9.39
2021-06-25,0.9416666666666664,0.057737324,3.23,9.83
2021-06-26,1.6375,-0.00332268,1.06,9.67
2021-06-27,0.9741666666666672,0.155506998,2.3,10.49
2021-06-28,3.316666666666667,0.0058367831999999,2.29,10.44
2021-06-29,2.365833333333333,-0.059999999,3.65,9.34
2021-06-30,1.29625,0.0491073748,1.1,11.43
2021-07-01,1.0416666666666667,-0.0145646684,2.14,11.19
2021-07-02,0.8099999999999999,-0.0792542696,1.81,8.5
2021-07-03,1.5283333333333335,0.039999999,5.68,7.81
2021-07-04,3.2841666666666662,-0.124949463,3.64,10.09
2021-07-05,2.7591666666666668,0.092218593,3.45,9.04
2021-07-06,1.5120833333333337,-0.076024294,1.52,9.94
2021-07-07,1.3233333333333337,-0.0073062538,0.99,10.18
2021-07-08,0.7458333333333332,0.169973016,3.4,12.55
2021-07-09,0.5216666666666666,-0.0077446683999999,1.53,8.45
2021-07-10,0.7087500000000001,-0.0377710388,2.3,9.87
2021-07-11,0.8674999999999998,-0.0634283604,4.31,9.88
2021-07-12,0.8987499999999998,-0.114944637,2.2,11.19
2021-07-13,1.8520833333333333,-0.170000002,0.71,8.93
2021-07-14,3.9254166666666666,-0.088675134,1.18,9.9
2021-07-15,1.930416666666667,-0.119999997,2.09,11.46
2021-07-16,3.74,0.0633131825999999,2.79,10.05
2021-07-17,2.8141666666666665,-0.0284872871999999,3.84,3.84
2021-07-18,2.0812499999999994,-0.0107619034,4.42,4.42
2021-07-19,1.4629166666666666,-0.107790522,1.45,9.5
2021-07-20,1.2941666666666665,0.044996046,1.99,11.04
2021-07-21,0.7516666666666668,0.281047761,2.77,9.48
2021-07-22,0.82125,0.033421794,3.17,8.89
2021-07-23,0.7304166666666666,3.633120000000045e-05,1.88,10.16
2021-07-24,0.4916666666666667,0.057348235,2.5,11.49
2021-07-25,0.7108333333333334,-0.0256250023999999,5.49,9.89
2021-07-26,0.6995833333333334,0.1311152396,2.03,9.24
2021-07-27,0.5470833333333333,0.106666669,3.58,11.65
2021-07-28,1.1154166666666667,0.0369000753999999,1.04,10.78
2021-07-29,2.16375,-0.07,3.42,9.82
2021-07-30,1.27625,0.160020277,3.39,11.7
2021-07-31,1.5970833333333336,0.011129505,2.49,10.88
2021-08-01,2.5533333333333337,0.0518995626,2.94,9.83
2021-08-02,1.419166666666667,0.0653621822,2.73,11.44
2021-08-03,1.5945833333333337,0.0202877205999999,2.96,11.52
2021-08-04,1.20125,0.0676266827999999,1.63,8.29
2021-08-05,1.3304166666666664,0.01,3.18,12.83
2021-08-06,1.1425,0.1083840905999999,2.5,11.14
2021-08-07,1.7250000000000003,-0.008042406,3.22,11.5
2021-08-08,0.8537499999999999,0.0563660206,3.41,9.96
2021-08-09,1.0845833333333332,0.109999999,1.4,9.31
2021-08-10,1.5404166666666663,0.0560817495999999,3.91,8.9
2021-08-11,1.6858333333333335,0.0373613446,3.94,10.16
2021-08-12,3.775,0.053358216,1.89,9.11
2021-08-13,2.563333333333333,-0.0577747467999999,2.67,11.74
2021-08-14,2.565,0.019976281,3.71,12.44
2021-08-15,1.8008333333333333,0.095004745,5.1,11.14
2021-08-16,2.27375,0.0452462243999999,0.56,11.12
2021-08-17,0.7979166666666667,-0.0116182191999999,3.49,11.37
2021-08-18,0.7558333333333334,0.0055420856,2.54,10.72
2021-08-19,2.767916666666667,-0.0098959973999999,3.63,9.96
2021-08-20,2.4450000000000003,-0.024452124,3.15,10.49
2021-08-21,3.1825,-0.035719678,2.92,8.07
2021-08-22,1.230833333333333,0.07,0.37,8.04
2021-08-23,0.4770833333333334,0.043201234,1.2,10.83
2021-08-24,0.7570833333333334,-0.0338310564,2.05,8.36
2021-08-25,0.7333333333333334,0.170079082,2.9,11.43
2021-08-26,0.62,0.0640022508,2.86,10.02
2021-08-27,0.6675,0.0649741559999999,2.07,8.84
2021-08-28,0.7533333333333334,0.0254334186,3.19,10.91
2021-08-29,0.8337500000000001,0.0852338704,4.4,8.53
2021-08-30,2.5483333333333333,0.0586016365999999,0.9,9.57
2021-08-31,1.51375,0.082470767,4.43,7.87
2021-09-01,2.03,0.029999999,2.07,13.7
2021-09-02,1.9495833333333328,0.0331145099999999,4.13,10.74
2021-09-03,1.0575,0.0067758895999999,1.64,11.75
2021-09-04,0.8504166666666667,-0.0826336114,2.66,10.5
2021-09-05,0.6316666666666666,0.0315695612,3.08,12.85
2021-09-06,0.8520833333333334,-0.146665618,2.14,12.35
2021-09-07,1.0583333333333331,-0.109956659,3.51,11.82
2021-09-08,1.2220833333333332,-0.015510015,4.65,10.75
2021-09-09,2.5708333333333333,0.047774646,1.68,11.33
2021-09-10,1.4887499999999998,-0.169981897,2.01,13.71
2021-09-11,0.8783333333333334,0.0537984767999999,1.77,12.85
2021-09-12,1.0170833333333331,0.0489459531999999,2.3,12.69
2021-09-13,1.0245833333333334,0.079999998,3.3,11.82
2021-09-14,1.0775,0.034282405,2.85,11.72
2021-09-15,0.8154166666666666,0.134979442,1.99,9.09
2021-09-16,3.17375,-0.150000006,3.45,9.44
2021-09-17,3.13125,0.103410788,3.04,9.61
2021-09-18,3.342916666666667,0.0298676259999999,1.65,8.9
2021-09-19,3.64,0.1662478656,2.75,8.2
2021-09-20,2.5691666666666664,0.0409074524,1.64,7.47
2021-09-21,1.77625,-0.008947516,2.02,8.3
2021-09-22,2.0025,0.029974476,1.57,7.84
2021-09-23,2.60375,0.036687419,3.46,9.23
2021-09-24,2.3904166666666677,-0.205585167,1.56,8.5
2021-09-25,1.0970833333333332,0.0031650583999999,2.58,9.37
2021-09-26,0.5904166666666667,0.0739198742,1.17,9.66
2021-09-27,0.8624999999999998,0.0326724548,3.94,7.34
2021-09-28,1.4154166666666663,0.0342129787999999,4.03,6.99
2021-09-29,2.396666666666667,0.008892419,2.45,9.06
2021-09-30,3.1575,0.265045851,1.3,8.05
2021-10-01,3.304583333333333,-0.0486048753999999,3.2,8.17
2021-10-02,2.024583333333333,-0.044159234,2.0,7.74
2021-10-03,1.40625,0.340028465,3.1,6.72
2021-10-04,1.6662499999999998,0.0144641296,1.67,8.09
2021-10-05,1.0929166666666668,-0.0432276374,3.52,7.5
2021-10-06,0.5375,0.0233748433999999,2.49,6.8
2021-10-07,0.7383333333333333,0.166681722,3.89,7.43
2021-10-08,0.4816666666666667,0.121718295,1.17,9.06
2021-10-09,0.4933333333333334,0.0448305779999999,0.78,8.53
2021-10-10,0.5237499999999998,0.040049985,3.06,7.86
2021-10-11,0.5525000000000001,0.0186361081999999,2.35,6.97
2021-10-12,1.9995833333333333,0.0069809941999999,1.87,7.44
2021-10-13,1.1220833333333335,0.0184642204,3.49,7.59
2021-10-14,0.8645833333333335,0.0857499362,3.22,8.11
2021-10-15,0.8045833333333334,0.289999992,3.13,7.87
2021-10-16,0.5579166666666667,0.036235787,0.83,8.28
2021-10-17,0.7470833333333333,0.0696547576,3.55,10.36
2021-10-18,1.5879166666666664,0.0526454358,1.68,8.26
2021-10-19,3.217083333333333,-0.300000012,2.15,9.72
2021-10-20,4.81375,-0.0481960244,1.41,8.86
2021-10-21,3.22625,0.0077580332,3.82,7.89
2021-10-22,1.375416666666667,0.0015832829999999,3.05,8.84
2021-10-23,0.7512500000000001,0.069686784,1.58,9.48
2021-10-24,2.033333333333333,0.272419423,1.39,8.79
2021-10-25,4.972916666666667,0.1411275151999999,0.86,7.98
2021-10-26,5.292916666666666,-0.0070785446,8.43,8.43
2021-10-27,3.9875000000000007,0.0707475982,8.72,8.72
2021-10-28,4.12875,-0.0679711878,5.59,5.59
2021-10-29,3.790000000000001,0.0899247413999999,8.95,8.95
