date,open_NO2,sate_NO2,"Bapuji Nagar, Bengaluru - KSPCB","BTM Layout, Bengaluru - CPCB","BWSSB Kadabesanahalli, Bengaluru - CPCB","City Railway Station, Bengaluru - KSPCB","Hebbal, Bengaluru - KSPCB","Hombegowda Nagar, Bengaluru - KSPCB","Jayanagar 5th Block, Bengaluru - KSPCB","Peenya, Bengaluru - CPCB","Sanegurava Halli, Bengaluru - KSPCB","Silk Board, Bengaluru - KSPCB"
2021-04-07,13.522083333333336,4211060000000000.0,41.67,31.66,45.38,22.56,39.87,22.17,29.18,25.15,13.22,45.38
2021-04-08,17.607083333333332,6066360000000000.0,36.3,28.91,12.71,22.86,43.55,23.04,27.65,28.72,12.89,43.23
2021-04-09,12.76,6148460000000000.0,34.09,28.45,12.73,45.48,40.24,20.57,30.07,27.21,13.14,31.44
2021-04-10,10.445416666666668,5573690000000000.0,32.6,26.11,12.72,33.62,37.71,17.2,33.24,26.82,12.68,26.19
2021-04-11,9.564166666666669,4915062000000000.0,17.84,21.01,12.73,34.34,26.52,13.06,26.21,21.36,34.34,19.96
2021-04-12,18.175833333333333,4633900000000000.0,20.73,19.66,12.74,76.07,28.04,13.21,27.94,21.94,13.47,18.62
2021-04-13,16.783333333333335,4790924000000000.0,13.07,16.95,12.72,436.16,23.22,12.27,26.32,20.95,12.66,16.41
2021-04-14,32.16583333333334,4463000000000000.0,18.96,24.7,26.59,36.27,21.62,15.08,27.0,23.75,36.27,26.59
2021-04-15,46.63958333333333,3424940000000000.0,23.98,32.28,32.62,34.58,22.65,18.35,27.13,22.88,12.05,39.07
2021-04-16,37.53041666666668,5398200000000000.0,31.11,36.18,60.91,36.11,27.87,22.47,27.54,21.79,12.59,49.13
2021-04-17,30.65208333333334,4722090000000000.0,31.59,35.81,61.21,36.27,27.29,24.7,28.01,26.95,13.9,48.07
2021-04-18,21.610416666666666,5005430000000000.0,18.74,20.49,61.12,36.04,27.16,17.25,26.21,19.23,36.04,29.61
2021-04-19,16.693333333333335,3872840000000000.0,25.18,37.41,65.14,36.22,24.12,23.07,30.76,23.72,12.57,62.41
2021-04-20,49.684583333333336,3738590000000000.0,28.65,35.52,67.64,12.45,21.4,21.75,28.15,22.15,12.45,69.97
2021-04-21,60.133333333333326,3780960000000000.0,29.33,34.04,58.82,12.92,20.82,19.87,28.66,23.55,12.92,58.82
2021-04-22,49.38125,3920326000000000.0,31.84,30.81,65.64,12.41,29.45,19.53,27.51,20.72,12.41,28.46
2021-04-23,42.59875,4726900000000000.0,23.64,32.84,32.84,12.57,14.7,17.29,24.67,18.1,12.57,32.84
2021-04-24,73.28666666666668,4076900000000000.0,16.42,23.74,23.74,12.58,15.48,14.09,24.73,17.16,12.58,23.74
2021-04-25,28.735,5126290000000000.0,17.39,19.16,66.44,12.56,18.0,15.9,15.9,17.01,12.56,19.16
2021-04-26,38.90666666666667,6065620000000000.0,36.76,6.68,66.95,12.73,34.55,23.7,30.7,21.16,12.73,6.68
2021-04-27,25.480833333333333,5081912000000000.0,41.27,4.4,66.94,12.45,33.42,22.51,29.4,23.45,12.45,4.4
2021-04-28,34.07041666666667,4514400000000000.0,23.35,4.4,67.32,12.64,19.93,18.05,26.19,20.93,12.64,4.4
2021-04-29,32.013749999999995,4874704000000000.0,15.75,4.4,66.73,13.13,14.93,11.09,24.15,18.44,13.13,35.52
2021-04-30,24.22041666666667,4544450000000000.0,15.38,4.41,66.88,24.15,16.79,10.53,23.55,19.14,12.96,32.99
