date,open_SO2,sate_SO2,"Manoharpur, Agra - UPPCB","Rohta, Agra - UPPCB","Sanjay Palace, Agra - UPPCB","Sector-3B Avas Vikas Colony, Agra - UPPCB","Shahjahan Garden, Agra - UPPCB","Shastripuram, Agra - UPPCB"
2021-04-30,20.355833333333333,-0.406936646,19.62,19.62,19.62,19.62,19.62,19.62
2021-05-01,12.826666666666664,0.1371479788,35.84,35.84,35.84,35.84,35.84,35.84
2021-05-02,8.209166666666668,0.0632971004,11.55,11.55,11.55,11.55,11.55,11.55
2021-05-03,10.0625,0.050044466,13.22,13.22,13.22,13.22,13.22,13.22
2021-05-04,17.955833333333334,0.370522439,19.15,19.15,19.15,19.15,19.15,19.15
2021-05-05,13.305,0.076151185,19.22,19.22,19.22,19.22,19.22,19.22
2021-05-06,16.451249999999998,-0.188680798,17.72,17.72,17.72,17.72,17.72,17.72
2021-05-07,17.456249999999994,0.067010015,18.79,18.79,18.79,18.79,18.79,18.79
2021-05-08,18.949583333333337,0.08727188,16.01,16.01,16.01,16.01,16.01,16.01
2021-05-09,14.90666666666666,0.046976656,19.72,19.72,19.72,19.72,19.72,19.72
2021-05-10,19.50541666666667,-0.0183909663999999,15.41,15.41,15.41,15.41,15.41,15.41
2021-05-11,19.03916666666667,-0.027770093,14.65,14.65,14.65,14.65,14.65,14.65
2021-05-12,17.6975,-0.110050023,14.66,14.66,14.66,14.66,14.66,14.66
2021-05-13,15.164583333333338,0.201254159,14.63,14.63,14.63,14.63,14.63,14.63
2021-05-14,21.69666666666667,0.069185637,14.04,14.04,14.04,14.04,14.04,14.04
2021-05-15,10.510833333333332,-0.0238421576,14.17,14.17,14.17,14.17,14.17,14.17
2021-05-16,18.05333333333333,0.261915505,15.03,15.03,15.03,15.03,15.03,15.03
2021-05-17,7.935416666666666,0.1703444157999999,16.8,16.8,16.8,16.8,16.8,16.8
2021-05-18,9.5425,0.0726746372,16.35,16.35,16.35,16.35,16.35,16.35
2021-05-19,8.796666666666667,0.0756080076,13.75,13.75,13.75,13.75,13.75,13.75
2021-05-20,20.37541666666667,0.0156736717999999,14.59,14.59,14.59,14.59,14.59,14.59
2021-05-21,15.329166666666667,-0.047214542,14.76,14.76,14.76,14.76,14.76,14.76
2021-05-22,11.044166666666667,-0.006184523,12.29,12.29,12.29,12.29,12.29,12.29
2021-05-23,6.605416666666666,0.015118945,15.52,15.52,15.52,15.52,15.52,15.52
2021-05-24,10.302083333333334,0.1441424203999999,12.77,12.77,12.77,12.77,12.77,12.77
2021-05-25,17.919166666666666,-0.106080033,14.81,14.81,14.81,14.81,14.81,14.81
2021-05-26,26.097916666666677,0.1384824826,15.58,15.58,15.58,15.58,15.58,15.58
2021-05-27,22.872916666666672,0.15012449,15.77,15.77,15.77,15.77,15.77,15.77
2021-05-28,11.734166666666663,-0.084106721,8.61,8.61,8.61,8.61,8.61,8.61
2021-05-29,7.120833333333333,-0.13148205,9.31,9.31,9.31,9.31,9.31,9.31
2021-05-30,13.76041666666667,-0.14300333,10.48,10.48,10.48,10.48,10.48,10.48
2021-05-31,11.846666666666666,-0.0910286851999999,20.02,20.02,20.02,20.02,20.02,20.02
2021-06-01,17.55,0.147376835,20.15,20.15,20.15,20.15,20.15,20.15
2021-06-02,12.35125,0.1223306464,22.52,22.52,22.52,22.52,22.52,22.52
2021-06-03,22.460416666666664,0.059999999,12.15,12.15,12.15,12.15,12.15,12.15
2021-06-04,19.475416666666668,-0.0634691422,3.76,3.76,3.76,3.76,3.76,3.76
2021-06-05,11.630833333333335,-0.0817129962,4.15,4.22,4.22,4.22,4.22,4.22
2021-06-06,7.5595833333333315,0.045959983,5.02,5.08,5.08,5.08,5.08,5.08
2021-06-07,16.949166666666667,0.038996223,6.13,5.11,5.11,5.11,5.11,5.11
