date,open_SO2,sate_SO2,"Bandra Kurla Complex, Mumbai - IITM","Bandra, Mumbai - MPCB","Borivali East, Mumbai - IITM","Borivali East, Mumbai - MPCB","Chakala-Andheri East, Mumbai - IITM",Chhatrapati Shivaji Intl,"Colaba, Mumbai - MPCB","Deonar, Mumbai - IITM","Kandivali East, Mumbai - MPCB","Khindipada-Bhandup West, Mumbai - IITM","Kurla, Mumbai - MPCB","Malad West, Mumbai - IITM","Mazgaon, Mumbai - IITM","Mulund West, Mumbai - MPCB","Navy Nagar-Colaba, Mumbai - IITM","Powai, Mumbai - MPCB","Siddharth Nagar-Worli, Mumbai - IITM","Sion, Mumbai - MPCB","Vasai West, Mumbai - MPCB","Vile Parle West, Mumbai - MPCB"
2021-04-01,61.63083333333332,0.154470503,5.08,40.56,2.42,2.42,12.61,11.07,83.71,10.98,8.16,0.33,41.83,6.69,1.08,43.59,2.53,1.4,1.08,4.19,26.03,7.72
2021-04-02,64.84916666666666,0.105025908,3.57,36.33,2.43,2.43,6.53,13.62,69.21,9.76,8.6,0.35,40.84,2.97,1.68,43.27,1.94,2.56,1.68,1.85,25.95,4.76
2021-04-03,45.82125,0.1320868484,3.51,39.51,2.63,2.63,16.15,6.53,95.89,15.46,8.61,0.2,38.26,6.73,1.72,43.28,0.69,2.45,1.72,1.72,25.94,4.37
2021-04-04,62.43666666666666,0.0505377136,10.34,45.89,2.3,2.3,6.55,4.64,59.43,31.56,8.07,0.68,38.27,3.08,1.25,42.61,1.65,1.09,1.25,1.12,25.76,5.23
2021-04-05,53.22083333333333,-0.255270481,11.11,46.6,2.38,2.38,15.73,5.67,40.68,11.92,8.38,0.26,37.27,3.16,0.39,42.51,0.3,0.81,0.39,1.07,25.97,5.71
2021-04-06,39.72666666666667,0.149775252,8.93,47.09,2.64,2.64,7.24,6.86,87.49,13.25,12.14,0.97,39.62,6.95,2.58,43.09,1.88,3.52,2.58,5.6,26.07,3.57
2021-04-07,55.789583333333326,0.187699988,13.14,46.68,2.52,2.52,12.56,8.22,74.17,24.68,9.84,0.19,35.28,3.1,3.43,43.69,1.04,1.98,3.43,2.95,25.91,6.9
2021-04-08,75.24166666666669,0.0519573339999999,18.22,41.0,8.96,8.96,4.26,8.46,78.78,8.85,8.96,0.07,32.19,3.11,1.98,45.93,0.5,1.36,1.98,2.8,25.99,7.55
2021-04-09,75.61833333333333,-0.0500411414,16.86,35.08,2.4,2.4,13.03,8.12,58.81,0.76,9.17,0.38,31.45,2.95,2.9,44.75,0.37,1.51,2.9,3.25,26.24,8.61
2021-04-10,67.01666666666667,-0.360000014,11.79,40.93,3.89,3.89,9.29,11.14,0.05,2.74,10.65,0.1,31.7,6.56,2.03,43.86,2.48,2.36,2.03,2.2,25.93,9.78
2021-04-11,59.78416666666667,-0.0034615301999999,19.54,41.08,30.72,30.72,12.05,12.05,0.02,25.68,10.38,0.54,32.05,3.05,1.69,43.79,4.97,2.77,1.69,3.13,25.81,10.01
2021-04-12,76.28458333333332,0.0240045664,11.93,41.12,38.12,38.12,4.23,9.99,53.02,26.47,11.37,0.09,32.3,3.18,1.33,43.46,0.63,2.63,1.33,3.94,25.89,8.64
2021-04-13,51.617916666666666,0.296832561,14.84,39.85,10.66,10.66,5.23,7.03,88.7,10.62,10.66,0.76,33.27,3.05,6.06,43.41,2.36,4.05,6.06,4.08,25.94,7.67
2021-04-14,97.41375,-0.133641541,5.62,38.3,10.7,10.7,11.24,3.76,75.38,11.27,10.7,0.36,31.62,3.14,3.7,42.59,0.63,2.84,3.7,3.54,25.82,8.1
2021-04-15,74.525,0.079961903,13.67,32.91,12.3,12.3,4.26,1.44,0.01,11.22,12.3,0.1,30.77,2.97,5.17,42.17,0.57,2.42,5.17,4.8,25.96,8.02
2021-04-16,48.53874999999999,0.214942858,5.33,36.43,11.27,11.27,3.74,1.61,0.93,12.55,11.27,0.09,34.58,2.98,1.79,42.61,0.93,1.31,1.79,1.15,26.07,8.43
2021-04-17,40.522916666666674,0.004859049,11.08,39.5,11.98,11.98,3.5,1.47,0.75,3.47,11.98,0.58,36.4,3.17,1.97,42.03,0.75,1.22,1.97,0.84,25.98,9.88
2021-04-18,44.43666666666668,0.0774462817999999,5.37,39.44,18.0,18.0,3.42,1.11,2.36,12.31,18.0,0.27,38.89,3.11,1.7,0.27,2.36,2.32,1.7,1.27,26.16,10.78
2021-04-19,64.83125,-0.1429235608,5.1,39.24,48.27,48.27,12.59,1.01,0.01,9.73,27.91,0.11,39.18,3.05,4.75,42.1,0.43,1.5,4.75,0.87,25.93,5.58
2021-04-20,68.20916666666666,0.2341127546,14.65,39.26,44.8,44.8,5.71,1.27,0.02,13.99,30.37,0.38,39.72,3.13,3.98,42.67,0.63,1.65,3.98,1.32,26.02,3.28
2021-04-21,56.814166666666665,-0.120304741,10.17,36.17,44.78,44.78,4.7,1.12,0.01,8.02,31.56,0.06,40.8,3.0,4.74,42.29,0.21,1.56,4.74,0.88,26.06,3.23
2021-04-22,43.81999999999999,-0.620000005,14.02,32.93,43.78,43.78,4.72,0.9,0.01,20.57,32.59,0.03,43.12,3.0,2.37,41.64,2.6,1.86,2.37,0.93,26.01,3.26
2021-04-23,45.95583333333333,-0.130038098,3.39,32.89,44.65,44.65,5.63,1.48,0.01,20.96,34.23,0.16,48.35,3.07,2.57,42.03,0.01,1.64,2.57,1.51,26.14,3.27
2021-04-24,41.42625,-0.107566662,10.4,32.85,46.44,46.44,15.94,2.08,0.01,7.12,35.91,0.34,52.56,2.99,6.58,42.61,0.01,1.81,6.58,1.74,25.95,3.41
