date,open_SO2,sate_SO2,"Civil Lines, Bareilly - UPPCB","Rajendra Nagar, Bareilly - UPPCB"
2021-09-04,9.090416666666664,0.1713837518,7.02,18.99
2021-09-05,9.303333333333336,0.060873989,7.04,18.74
2021-09-06,6.502916666666667,-0.091526904,7.15,20.3
2021-09-07,3.16625,0.0846880808,7.13,20.53
2021-09-08,3.223333333333334,-0.0476080923999999,7.14,19.73
2021-09-09,3.764583333333334,-0.125089765,7.18,19.84
2021-09-10,3.237083333333333,0.026039271,7.29,19.77
2021-09-11,3.4995833333333333,-0.0594595484,7.38,19.76
2021-09-12,6.019583333333333,-0.034895208,7.44,18.6
2021-09-13,5.879999999999998,0.1037301532,7.39,19.89
2021-09-14,4.802499999999999,0.079999998,7.37,20.05
2021-09-15,6.82375,0.112910019,7.62,18.85
2021-09-16,3.420833333333334,0.0941950158,7.59,18.48
2021-09-17,3.0191666666666674,0.0954179528,7.5,18.4
2021-09-18,3.8370833333333336,0.219999999,7.6,19.18
2021-09-19,10.0325,0.076846562,7.88,19.14
2021-09-20,12.485000000000005,-0.0235537386,7.87,17.89
2021-09-21,13.135,0.20464845,7.88,19.88
2021-09-22,10.695,0.1543354717999999,7.87,20.0
2021-09-23,5.368333333333332,0.0847628024,7.99,18.78
2021-09-24,4.488333333333333,0.1899763882,7.99,19.3
2021-09-25,4.9383333333333335,0.00761851,8.1,18.43
2021-09-26,5.964166666666665,-0.038040225,8.17,18.98
2021-09-27,6.46375,-0.008678309,8.17,21.84
2021-09-28,4.847499999999999,0.037585605,8.4,18.51
2021-09-29,5.662499999999999,0.0352138407999999,8.7,20.56
2021-09-30,14.856250000000005,0.0930084432,8.7,19.94
2021-10-01,9.87,0.0241043416,8.66,21.21
2021-10-02,9.411249999999995,-0.1279518872,8.84,24.1
2021-10-03,12.754166666666665,0.0710089793999999,8.88,21.94
2021-10-04,11.637916666666667,0.1391158328,8.93,23.64
2021-10-05,13.508333333333333,0.086578734,8.87,19.81
2021-10-06,10.315416666666664,0.1700592032,8.93,24.18
2021-10-07,13.140416666666663,0.5,8.99,25.93
2021-10-08,13.36,-0.0939262978,9.16,27.12
2021-10-09,14.976666666666665,-0.051755827,9.33,29.0
2021-10-10,14.687499999999998,-0.0747272482,9.29,26.02
2021-10-11,17.87666666666667,0.198018014,9.7,25.37
2021-10-12,17.01708333333334,0.0169288,9.57,30.13
2021-10-13,17.807083333333335,0.0998939512,9.47,28.48
2021-10-14,14.362499999999995,0.126655802,9.67,30.16
2021-10-15,15.053749999999996,0.0400582789999999,10.05,33.85
2021-10-16,19.51083333333333,0.097522877,9.89,27.51
2021-10-17,5.650000000000002,0.0078981169999999,9.61,23.24
2021-10-18,6.49625,0.0307731503999999,9.45,19.53
2021-10-19,7.215000000000001,0.1274662942,9.66,24.4
2021-10-20,10.85125,0.599137127,9.73,25.02
2021-10-21,20.60875,-0.047487095,9.76,26.38
2021-10-22,10.386250000000002,0.027679461,9.71,24.84
2021-10-23,13.18875,-0.175096989,9.84,19.55
2021-10-24,24.05458333333334,0.0573272794,9.94,12.82
2021-10-25,9.016250000000005,0.106895648,9.91,13.93
