date,open_NO2,sate_NO2,"Sector 22, Chandigarh - CPCC","Sector-25, Chandigarh - CPCC","Sector-53, Chandigarh - CPCC"
2021-09-01,18.19375,6829540000000000.0,31.66,17.35,17.35
2021-09-02,22.91,7081500000000000.0,37.84,16.0,16.0
2021-09-03,22.66333333333333,7715914000000000.0,34.92,15.24,15.24
2021-09-04,17.225833333333338,5997130000000000.0,39.3,14.68,14.68
2021-09-05,17.753749999999997,6105990000000000.0,29.91,12.52,12.52
2021-09-06,19.504583333333333,7692874000000000.0,33.77,17.83,17.83
2021-09-07,5.727916666666666,9715770000000000.0,29.73,17.55,17.55
2021-09-08,10.384166666666664,7706730000000000.0,25.14,15.38,15.38
2021-09-09,9.212083333333334,8561140000000000.0,29.66,16.21,16.21
2021-09-10,16.650833333333335,1.07e+16,29.86,13.36,13.36
2021-09-11,14.484583333333337,7034992000000000.0,37.53,14.81,14.81
2021-09-12,18.62291666666666,7228980000000000.0,24.83,8.12,8.12
2021-09-13,25.12291666666667,6663854000000000.0,21.45,11.99,11.99
2021-09-14,14.77375,6180990000000000.0,28.66,13.16,13.16
2021-09-15,14.155416666666666,7030394000000000.0,22.11,10.33,10.33
2021-09-16,21.566666666666663,6634540000000000.0,25.36,9.45,9.45
2021-09-17,21.24625,4788990000000000.0,24.62,8.38,8.38
2021-09-18,17.516666666666662,7968032000000000.0,26.41,8.95,8.95
2021-09-19,16.74416666666667,6988910000000000.0,24.31,11.85,11.85
2021-09-20,15.719583333333333,7709074000000000.0,36.51,15.25,15.25
2021-09-21,17.202499999999997,6092496000000000.0,39.62,12.35,12.35
2021-09-22,11.8,7591330000000000.0,36.41,16.28,16.28
2021-09-23,19.114166666666662,6350748000000000.0,34.73,14.43,14.43
2021-09-24,21.560416666666665,4291480000000000.0,33.75,9.08,9.08
2021-09-25,17.510833333333327,5598134000000000.0,29.82,10.28,10.28
2021-09-26,15.765416666666669,6103110000000000.0,29.09,10.86,10.86
2021-09-27,26.040833333333328,7438588000000000.0,29.75,9.25,9.25
2021-09-28,22.94416666666667,6750960000000000.0,40.06,11.89,11.89
2021-09-29,22.778333333333336,7664658000000000.0,35.87,14.66,14.66
2021-09-30,28.682083333333328,7462800000000000.0,37.38,21.33,21.33
2021-10-01,23.3125,5958248000000000.0,30.34,9.95,9.95
2021-10-02,10.290833333333332,7142036000000000.0,27.87,8.63,8.63
2021-10-03,13.655416666666667,3700750000000000.0,27.64,7.7,7.7
2021-10-04,25.902916666666663,6008392000000000.0,50.57,21.4,21.4
2021-10-05,20.35083333333333,6358100000000000.0,42.08,15.3,15.3
2021-10-06,15.469583333333338,7519276000000000.0,34.58,14.65,14.65
2021-10-07,16.508333333333333,5234070000000000.0,41.89,17.11,17.11
2021-10-08,16.037499999999998,6140784000000000.0,44.95,19.61,19.61
2021-10-09,15.054999999999998,7735600000000000.0,42.27,18.23,18.23
2021-10-10,29.07291666666666,7177470000000000.0,42.08,32.09,32.09
2021-10-11,31.808333333333326,6650706000000000.0,44.36,42.06,42.06
2021-10-12,33.92083333333333,9078450000000000.0,33.94,32.21,32.21
2021-10-13,18.425833333333333,8137700000000000.0,46.55,26.24,26.24
2021-10-14,22.08125,5927360000000000.0,51.72,25.94,25.94
2021-10-15,32.86625,5575418000000000.0,63.08,42.6,42.6
2021-10-16,22.948750000000004,7962680000000000.0,53.82,39.08,39.08
2021-10-17,18.07625,6589950000000000.0,42.92,33.38,33.38
2021-10-18,23.95583333333333,7198280000000000.0,43.47,15.89,15.89
2021-10-19,14.915416666666664,6652590000000000.0,29.24,10.4,10.4
2021-10-20,17.508333333333336,7257714000000000.0,44.11,18.08,18.08
2021-10-21,17.696666666666665,1.18e+16,50.23,20.87,20.87
2021-10-22,20.422916666666666,6587770000000000.0,55.81,30.73,30.73
2021-10-23,8.045000000000002,4805320000000000.0,29.91,29.15,29.15
2021-10-24,13.06,6756810000000000.0,16.94,13.29,13.29
2021-10-25,20.95,4235520000000000.0,35.54,15.47,15.47
2021-10-26,19.892916666666665,8448560000000000.0,34.86,16.2,16.2
2021-10-27,22.63458333333333,1.1739562e+16,32.21,14.67,14.67
2021-10-28,29.74541666666667,8626240000000000.0,44.34,20.84,20.84
2021-10-29,27.12666666666668,7449194000000000.0,47.65,24.15,24.15
2021-10-30,12.542083333333332,7308180000000000.0,30.51,15.78,15.78
2021-10-31,27.264166666666664,6221080000000000.0,51.12,27.37,27.37
2021-11-01,25.77416666666667,7029320000000000.0,49.36,40.97,40.97
2021-11-02,13.450833333333334,6819936000000000.0,47.42,38.75,38.75
2021-11-03,42.97749999999999,8797450000000000.0,56.52,37.5,37.5
2021-11-04,43.69791666666666,1.13e+16,37.46,24.13,24.13
2021-11-05,24.182916666666667,7576452000000000.0,29.13,20.27,20.27
2021-11-06,13.78,7106060000000000.0,34.71,20.64,20.64
2021-11-07,18.6516,6940326000000000.0,50.64,25.36,25.36
2021-11-08,23.34041666666667,5637670000000000.0,45.95,23.9,23.9
2021-11-09,32.23083333333334,6884164000000000.0,60.21,31.13,31.13
2021-11-10,30.688333333333336,6854430000000000.0,54.51,30.55,30.55
2021-11-11,31.444999999999997,9098200000000000.0,59.09,33.14,33.14
2021-11-12,28.95333333333333,6732130000000000.0,57.07,29.08,29.08
2021-11-13,23.03458333333333,6698650000000000.0,62.49,28.17,28.17
2021-11-14,40.877500000000005,6832744000000000.0,59.52,31.52,31.52
2021-11-15,27.00375,9007460000000000.0,61.76,33.55,33.55
2021-11-16,36.85833333333333,6514222000000000.0,67.53,36.47,36.47
2021-11-17,39.3175,7374740000000000.0,73.9,45.0,45.0
2021-11-18,53.48,7104408000000000.0,65.6,46.04,46.04
2021-11-19,41.427083333333336,5870720000000000.0,66.74,31.83,31.83
2021-11-20,30.18916666666667,7639740000000000.0,72.15,33.01,33.01
2021-11-21,16.322916666666668,6891758000000000.0,48.06,22.84,22.84
2021-11-22,17.450416666666673,7036840000000000.0,43.3,21.35,21.35
2021-11-23,40.3425,6685152000000000.0,68.71,38.97,38.97
2021-11-24,38.798750000000005,5365180000000000.0,55.1,44.59,44.59
2021-11-25,33.96916666666666,5764654000000000.0,52.11,33.24,33.24
2021-11-26,46.86833333333332,6287400000000000.0,68.74,40.98,40.98
2021-11-27,29.58583333333333,8428680000000000.0,57.75,45.98,45.98
2021-11-28,38.41833333333333,6447638000000000.0,63.52,35.47,35.47
2021-11-29,20.277083333333337,7771580000000000.0,52.42,23.92,23.92
2021-11-30,36.71541666666666,6723590000000000.0,60.17,31.88,31.88
2021-12-01,50.22416666666667,7418794000000000.0,88.66,40.26,40.26
2021-12-02,41.740833333333335,6271140000000000.0,90.22,33.89,33.89
2021-12-03,32.038333333333334,5791990000000000.0,104.38,39.64,39.64
2021-12-04,32.58708333333333,6022774000000000.0,77.94,30.36,30.36
2021-12-05,25.359583333333337,5932870000000000.0,61.85,35.31,35.31
2021-12-06,35.14249999999999,9157590000000000.0,64.19,26.04,26.04
2021-12-07,27.047083333333337,6967750000000000.0,59.32,25.47,25.47
2021-12-08,40.1125,7667900000000000.0,74.59,28.93,28.93
2021-12-09,47.35333333333333,6774008000000000.0,76.22,28.27,28.27
2021-12-10,24.461250000000007,6482790000000000.0,67.28,26.16,26.16
2021-12-11,32.474583333333335,6286342000000000.0,71.78,26.84,26.84
2021-12-12,42.40541666666666,1.27e+16,79.15,35.36,35.36
2021-12-13,41.72791666666667,1.12e+16,76.29,36.83,36.83
2021-12-14,42.894583333333344,6301900000000000.0,75.74,36.65,36.65
2021-12-15,42.35541666666666,1.01e+16,79.2,26.27,26.27
2021-12-16,42.09166666666667,6773928000000000.0,75.46,29.83,29.83
