,Station,Longitude,Latitude
173,"Uttar Pradesh_Varanasi_IESD Banaras Hindu University, Varanasi - UPPCB",82.995184,25.2622975
174,"Uttar Pradesh_Varanasi_Maldahiya, Varanasi - UPPCB",82.9951758,25.325495
175,"Uttarakhand_Dehradun_Doon University, Dehradun - UKPCB",78.0442659,30.2690156
176,"West Bengal_Asansol_Asansol Court Area, Asansol - WBPCB",86.9461361,23.6871984
177,"West Bengal_Kolkata_Ballygunge, Kolkata - WBPCB",88.36590830000002,22.5280352
178,"West Bengal_Kolkata_Bidhannagar, Kolkata - WBPCB",88.414312,22.5796842
179,"West Bengal_Kolkata_Fort William, Kolkata - WBPCB",88.33607649999999,22.5546875
180,"West Bengal_Kolkata_Jadavpur, Kolkata - WBPCB",88.3709008,22.4954988
181,"West Bengal_Kolkata_Rabindra Bharati University, Kolkata - WBPCB",88.3593841,22.5844542
182,"West Bengal_Kolkata_Victoria, Kolkata - WBPCB",88.3425578,22.5448082
